X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Orientation_Index,SigmoidOfAreas,Class
451,466,368143,368208,728,30,68,69258,36,133,1687,0,1,150,5347,2533,2308,89,5000,95.59,1,28621,11761,18129,7692,7692,9888,1
669,684,491552,491684,1097,59,133,119540,50,134,1687,0,1,150,7931,4460,1136,89,2542,99.25,1,30402,11761,21206,8864,8864,10000,1
156,192,713788,714056,5044,167,282,570911,11,143,1687,0,1,150,1849,4772,1343,213,2156,95.03,1,37028,15563,24281,8657,8657,10000,1
90,104,751059,751132,552,38,76,59750,79,134,1687,0,1,150,1067,4599,1918,83,3684,96.05,1,27419,11461,18633,8082,8082,9918,1
82,89,844704,844729,137,8,25,14907,92,126,1687,0,1,150,972,2171,2800,41,8750,100,1,21367,8451,13979,7200,7200,2998,1
1601,1613,21349,21376,209,15,27,24807,96,141,1687,0,1,200,877,3549,4444,71,8000,100,1,23201,10792,14314,5556,5556,5362,1
17,28,42683,42717,284,18,34,32604,87,141,1687,0,1,200,202,2406,3235,65,6111,100,1,24533,10414,15315,6765,6765,6173,1
43,52,86284,86313,153,13,29,17753,101,134,1687,0,1,200,510,4138,3103,53,6923,100,1,21847,9542,14624,6897,6897,4317,1
63,72,115485,115504,106,10,19,13829,107,150,1687,0,1,200,747,3801,4737,53,9000,100,1,20253,9542,12787,5263,5263,2942,1
82,92,149044,149083,264,15,39,32175,92,141,1687,0,1,200,972,3231,2564,59,6667,100,1,24216,10000,15911,7436,7436,6422,1
75,84,184350,184383,201,17,35,27349,123,148,1687,0,1,200,889,3232,2727,53,5294,94.29,1,23032,9542,15185,7273,7273,4913,1
1363,1372,2128884,2128907,171,9,23,16645,77,111,1373,0,1,40,15,1739,3913,66,10000,100,1,22330,9542,13617,6087,6087,3464,1
1358,1372,2356396,2356435,395,19,39,38722,75,118,1373,0,1,40,15,2766,3590,102,7368,100,1,25966,11461,15911,6410,6410,8355,1
1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,0,1,40,2668,2130,3333,37,6667,100,1,19294,7782,12553,6667,6667,2150,1
1281,1302,4332564,4332815,3214,92,253,368381,33,140,1373,0,1,40,1034,3902,837,153,2283,99.21,1,35071,13222,23997,9163,9163,10000,1
49,62,4822354,4822392,386,15,38,36875,51,124,1373,0,1,40,714,2186,3421,95,8667,100,1,25866,11139,15798,6579,6579,7822,1
830,837,1874382,1874415,182,9,33,20751,99,132,1373,0,1,40,7808,2121,2121,51,7778,100,1,22601,8451,15185,7879,7879,3834,1
91,104,2378173,2378236,527,19,63,48793,47,125,1387,0,1,40,1312,3565,2063,94,6842,100,1,27218,11139,17993,7936,7936,9691,1
161,168,2891780,2891804,158,9,24,16680,80,119,1387,0,1,40,2322,595,2917,50,7778,100,1,21987,8451,13802,7083,7083,2901,1
1328,1338,2691161,2691189,214,10,28,19762,70,111,1387,0,1,50,707,2357,3571,72,10000,100,1,23304,10000,14472,6429,6429,4630,1
1251,1274,3874199,3874261,994,29,62,68851,15,119,1387,0,1,50,1629,3029,3710,166,7931,100,1,29974,13617,17924,6290,6290,9994,1
733,745,3957796,3957839,367,16,43,35856,55,127,1387,0,1,50,9257,2888,2791,87,7500,100,1,25647,10792,16335,7209,7209,8061,1
12,24,304433,304472,320,15,39,32705,55,125,1353,0,1,70,177,3162,3077,89,8000,100,1,25052,10792,15911,6923,6923,7512,1
162,172,505964,506035,378,34,72,43323,77,135,1353,0,1,70,2395,4676,1408,74,2941,98.61,1,25775,10000,18513,8591,8591,9381,1
0,10,1701480,1701528,210,36,48,17413,73,100,1333,0,1,40,0,5625,2083,75,2778,100,1,23222,10000,16812,7917,7917,7659,1
1617,1629,183688,183711,201,22,23,20993,79,126,1633,0,1,250,49,2717,5217,74,5454,100,1,23032,10792,13617,4783,4783,4564,1
1152,1162,284144,284198,386,35,54,44712,90,132,1687,0,1,200,6224,2852,1852,59,2857,100,1,25866,10000,17324,8148,8148,8299,1
1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,0,1,70,1212,2500,3333,89,4000,100,1,25106,10792,15563,6667,6667,7037,1
1545,1557,19815,19841,234,20,26,23207,66,124,1627,0,1,40,860,2500,4615,74,6000,100,1,23692,10792,14150,5385,5385,5162,1
1580,1590,3884411,3884461,340,30,50,34655,88,116,1627,0,1,40,455,3200,2000,61,3333,100,1,25315,10000,16990,8000,8000,7889,1
450,458,1009978,1009999,98,16,21,10784,96,132,1690,1,0,60,5325,4167,3810,47,5000,100,1,19912,9031,13222,6191,6191,2901,1
1625,1634,1702442,1702491,267,43,49,22785,67,110,1690,1,0,60,663,3946,1837,53,2093,100,1,24265,9542,16902,8163,8163,7161,1
1495,1502,3509718,3509731,56,12,13,5587,85,116,1686,1,0,60,2183,3846,5385,41,5833,100,1,17482,8451,11139,4615,4615,1965,1
958,964,3550754,3550771,71,11,17,7502,91,124,1682,1,0,60,8537,3039,3529,36,5454,100,1,18513,7782,12305,6471,6471,2083,1
1536,1548,43036,43048,90,14,12,7525,67,100,1688,1,0,60,1659,3750,10000,71,8571,100,0.5,19542,10792,10792,0,0,2583,1
780,787,1686880,1686891,55,9,11,6124,95,125,1690,1,0,60,9231,2857,6364,41,7778,100,1,17404,8451,10414,3636,3636,1822,1
1140,1147,2379116,2379129,58,9,13,6567,100,132,1690,1,0,60,6426,3626,5385,41,7778,100,1,17634,8451,11139,4615,4615,1965,1
13,24,2512899,2512965,567,47,66,46365,51,109,1690,1,0,60,154,2190,1667,65,2340,100,1,27536,10414,18195,8333,8333,9440,1
11,20,2845229,2845256,182,20,27,16337,72,109,1688,1,0,60,130,2510,3333,53,4500,100,1,22601,9542,14314,6667,6667,4025,1
1589,1599,3826564,3826588,154,20,24,13678,69,108,1650,1,0,69,618,3583,4167,61,5000,100,1,21875,10000,13802,5833,5833,3977,1
765,774,4157586,4157620,188,20,34,20528,95,125,1648,1,0,69,9284,3856,2647,55,4500,100,1,22742,9542,15315,7353,7353,5063,1
1268,1277,5437033,5437060,146,20,27,15572,88,126,1646,1,0,69,4484,3992,3333,55,4500,100,1,21644,9542,14314,6667,6667,4025,1
333,346,5683008,5683014,51,14,7,6902,120,149,1650,1,0,69,4036,3462,4615,79,9286,85.71,0,17076,11139,7782,-5385,-5385,1832,1
1287,1299,1005865,1005895,184,25,30,18593,85,119,1650,1,0,100,4254,4889,4000,73,4800,100,1,22648,10792,14771,6000,6000,5951,1
1088,1096,1094617,1094629,67,10,12,7416,94,132,1710,1,0,100,7181,3021,6667,47,8000,100,1,18261,9031,10792,3333,3333,2018,1
1255,1261,718602,718617,64,10,15,7013,99,123,1360,1,0,100,1456,2889,4000,44,6000,100,1,18062,7782,11761,6000,6000,1954,1
707,714,807870,807880,53,10,10,5039,81,111,1360,1,0,100,9500,2429,7000,52,7000,100,1,17243,8451,10000,3000,3000,1753,1
1186,1193,238656,238667,60,10,11,6863,100,132,1362,1,0,120,2482,2208,6364,51,7000,100,1,17781,8451,10414,3636,3636,1822,1
626,635,2071945,2071956,76,14,11,8063,84,126,1362,1,0,120,9192,2323,8182,66,6429,100,1,18808,9542,10414,1818,1818,2051,1
1503,1510,893849,893861,66,9,12,6625,87,118,1632,1,0,100,1495,2143,5833,43,7778,100,1,18195,8451,10792,4167,4167,1892,1
1152,1161,969900,969911,70,9,11,7846,99,127,1632,1,0,100,5772,2929,8182,55,10000,100,1,18451,9542,10414,1818,1818,2051,1
1533,1542,1031539,1031599,382,43,60,38206,77,118,1632,1,0,100,1103,2926,1500,55,2093,100,1,25821,9542,17781,8500,8500,8299,1
788,796,1060712,1060732,110,13,20,11126,84,116,1630,1,0,100,9669,3125,4000,49,6154,100,1,20414,9031,13010,6000,6000,2792,1
34,40,914648,914661,51,8,13,5369,95,116,1654,1,0,100,411,3462,4615,36,7500,100,1,17076,7782,11139,5385,5385,1832,1
1604,1612,1194800,1194814,63,15,14,5232,73,94,1656,1,0,100,531,4375,5714,48,5333,100,1,17993,9031,11461,4286,4286,2195,1
1610,1618,1944129,1944138,56,12,9,4674,71,101,1656,1,0,100,459,2222,8889,48,6667,100,1,17482,9031,9542,1111,1111,1773,1
1617,1628,2095494,2095507,89,14,13,7804,77,100,1658,1,0,100,362,3776,8461,66,7857,100,1,19494,10414,11139,1539,1539,2570,1
1589,1598,2493647,2493675,190,21,28,18416,81,116,1648,1,0,100,607,2460,3214,55,4286,100,1,22787,9542,14472,6786,6786,4170,1
482,490,11430396,11430416,81,15,20,8709,99,119,1656,1,0,100,5821,4938,4000,48,5333,100,1,19085,9031,13010,6000,6000,2792,1
1067,1073,237702,237720,63,17,18,4616,58,93,1694,1,0,211,7332,4167,3333,35,3529,100,1,17993,7782,12553,6667,6667,2150,1
623,631,309514,309526,60,9,12,4585,62,92,1694,1,0,211,7355,3750,6667,47,8889,100,1,17781,9031,10792,3333,3333,2018,1
446,453,200561,200567,30,8,6,3022,80,116,1692,1,0,143,5272,2857,8571,41,8750,100,0,14771,8451,7782,-1429,-1429,1499,1
375,384,519677,519708,209,24,31,24034,90,143,1692,1,0,143,4433,2509,2903,53,3750,100,1,23201,9542,14914,7097,7097,4613,1
125,134,1334420,1334443,156,20,23,18654,101,141,1352,1,0,80,1849,2464,3913,67,4500,100,1,21931,9542,13617,6087,6087,3464,1
124,140,2377039,2377320,2643,165,285,300024,64,140,1400,0,1,40,1771,4121,569,114,970,98.6,1,34221,12041,24487,9431,9431,10000,1
1321,1339,513812,514011,2145,134,201,228995,16,133,1380,0,1,40,594,4012,904,130,1343,99.01,1,33314,12553,22989,9096,9096,10000,1
817,843,66196,66362,1421,142,185,141034,47,126,1666,0,1,40,9808,6708,1566,156,1831,89.73,1,31526,14150,22201,8434,8434,10000,1
808,816,161967,161984,103,13,17,11430,97,126,1666,0,1,40,9700,2427,4706,48,6154,100,1,20128,9031,12305,5294,5294,2482,1
1327,1335,126951,126958,40,11,7,4014,89,111,1364,0,1,60,425,2857,8750,59,7273,100,0,16021,9031,8451,-1250,-1250,1622,1
64,95,417618,418215,10914,481,604,1096282,21,141,1362,0,1,60,940,4103,519,228,645,98.84,1,40380,14914,27760,9481,9481,10000,1
57,69,33796,33812,135,18,16,10915,55,97,1360,0,1,200,838,2969,7500,88,6667,100,1,21303,10792,12041,2500,2500,3241,1
921,930,638468,638484,114,14,17,13173,94,140,1392,0,1,220,6638,2083,5625,65,6429,94.12,1,20569,9542,12041,4375,4375,2583,1
830,837,837868,837888,82,13,20,9671,106,128,1392,0,1,220,7974,4143,3500,50,5385,100,1,19138,8451,13010,6500,6500,2532,1
1201,1213,3496093,3496125,275,19,32,28986,78,127,1362,0,1,40,2188,2839,3750,88,6316,100,1,24393,10792,15051,6250,6250,6330,1
1227,1238,3980733,3980769,289,25,36,32134,92,132,1364,0,1,40,1848,2702,3056,81,4400,100,1,24609,10414,15563,6944,6944,6514,1
959,974,4178002,4178041,313,36,39,35005,68,135,1364,0,1,40,5719,4650,3846,110,4167,100,1,24955,11761,15911,6154,6154,8682,1
320,333,4383724,4383776,437,36,52,44883,63,132,1364,0,1,40,4692,3535,2500,95,3611,100,1,26405,11139,17160,7500,7500,9236,1
34,51,132507,132576,759,45,69,67978,44,124,1362,0,1,40,499,3529,2464,125,3778,100,1,28802,12305,18389,7536,7536,9970,1
159,172,273320,273387,677,44,67,67597,72,124,1360,0,1,40,2338,2227,1940,96,2955,100,1,28306,11139,18261,8060,8060,9779,1
1265,1278,31580,31602,211,18,22,17820,49,109,1364,0,1,100,1261,2622,5909,95,7222,100,1,23243,11139,13424,4091,4091,4729,1
1343,1352,106512,106519,52,9,7,5049,87,109,1366,0,1,100,205,1746,7778,66,10000,100,0,17160,9542,8451,-2222,-2222,1687,1
557,570,2425687,2425716,261,28,29,28261,91,126,1358,0,1,40,8203,3077,4483,96,4643,100,1,24166,11139,14624,5517,5517,6221,1
1058,1066,367429,367455,135,18,26,15385,103,126,1690,0,1,70,7385,3510,3077,47,4444,100,1,21303,9031,14150,6923,6923,3479,1
780,787,1044544,1044587,181,29,43,20264,99,125,1690,0,1,70,9231,3987,1628,41,2414,100,1,22577,8451,16335,8372,8372,4979,1
971,979,1246698,1246717,109,15,19,12212,100,127,1694,0,1,70,8442,2829,4211,47,5333,100,1,20374,9031,12787,5789,5789,2686,1
374,382,2670756,2670772,102,11,16,11385,95,127,1692,0,1,70,4421,2031,5000,47,7273,100,1,20086,9031,12041,5000,5000,2384,1
1027,1034,2928247,2928259,51,8,12,5999,111,135,1692,0,1,70,7778,3929,5833,41,8750,100,1,17076,8451,10792,4167,4167,1892,1
1554,1564,3375744,3375765,134,13,21,13356,89,111,1690,0,1,70,1491,3619,4762,59,7692,100,1,21271,10000,13222,5238,5238,3509,1
179,193,1280228,1280256,266,23,28,24547,49,126,1626,0,1,120,2202,3214,5000,86,6087,100,1,24249,11461,14472,5000,5000,6453,1
980,992,333332,333435,970,57,103,97514,66,133,1362,0,1,175,5433,2152,1165,88,2105,100,1,29868,10792,20128,8835,8835,9980,1
1579,1592,562576,562633,515,32,57,41622,46,108,1632,0,1,125,490,3050,2281,80,4063,100,1,27118,11139,17559,7719,7719,9491,1
225,235,719009,719024,116,17,15,11656,71,127,1634,0,1,125,2754,2267,6667,61,5882,100,1,20645,10000,11761,3333,3333,2660,1
1465,1486,1837263,1837460,2490,146,197,283038,19,141,1634,0,1,125,1812,3981,1066,128,1438,100,1,33962,13222,22945,8934,8934,10000,1
1360,1373,2094748,2094776,251,22,28,28050,89,140,1632,0,1,125,3174,3104,4643,80,5909,100,1,23997,11139,14472,5357,5357,6015,1
1155,1167,2124816,2124840,165,22,26,18742,87,134,1626,0,1,125,5646,4271,5000,74,5454,92.31,1,22175,10792,13802,5000,5000,4763,1
1325,1334,1959035,1959052,112,16,17,11439,84,127,1358,0,1,40,353,2680,5294,66,5625,100,1,20492,9542,12305,4706,4706,2699,1
1260,1271,552783,552815,208,24,32,22478,84,126,1350,0,1,50,1170,4091,3438,82,4583,100,1,23181,10414,15051,6563,6563,5822,1
1245,1258,702370,702405,337,26,35,33379,68,125,1354,0,1,50,1418,2593,3714,96,5000,100,1,25276,11139,15441,6286,6286,7347,1
1687,1696,150712,150740,167,24,28,9559,23,94,1698,0,1,90,24,3373,3214,53,3750,100,1,22227,9542,14472,6786,6786,4170,1
1507,1516,188768,188800,200,24,32,21691,90,125,1696,0,1,90,2123,3056,2813,53,3750,100,1,23010,9542,15051,7188,7188,4763,1
1688,1694,247330,247414,359,29,84,19226,30,93,1696,0,1,90,24,2877,714,35,2069,100,1,25551,7782,19243,9286,9286,7933,1
1685,1692,297096,297166,349,33,70,24697,45,95,1698,0,1,90,71,2878,1000,41,2121,100,1,25428,8451,18451,9000,9000,7776,1
1687,1694,348227,348257,140,12,30,9253,38,101,1698,0,1,90,47,3333,2333,41,5833,100,1,21461,8451,14771,7667,7667,3509,1
1571,1583,435871,435916,379,35,45,37695,80,124,1700,0,1,90,1376,2982,2667,71,3429,100,1,25786,10792,16532,7333,7333,8299,1
757,766,487568,487588,121,13,20,13345,89,134,1698,0,1,90,8916,3278,4500,53,6923,100,1,20828,9542,13010,5500,5500,3068,1
1568,1583,564536,564621,762,63,86,78455,88,124,1698,0,1,90,1355,4024,1765,88,2381,98.84,1,28819,11761,19294,8235,8235,9985,1
1571,1585,689792,689890,861,78,98,90154,91,126,1696,0,1,90,1309,3724,1429,82,1795,100,1,29350,11461,19912,8571,8571,9992,1
1575,1589,815462,815504,335,37,42,32766,86,124,1696,0,1,90,1262,4303,3333,82,3784,100,1,25250,11461,16233,6667,6667,8705,1
1579,1590,939827,939860,242,24,33,24672,90,119,1698,0,1,90,1272,3333,3333,65,4583,100,1,23838,10414,15185,6667,6667,5999,1
1395,1407,1108752,1108782,264,26,30,25531,64,126,1696,0,1,90,3408,2667,4000,71,4615,100,1,24216,10792,14771,6000,6000,5951,1
5,13,1137189,1137216,134,20,27,14605,94,125,1694,0,1,90,59,3796,2963,47,4000,100,1,21271,9031,14314,7037,7037,3601,1
1578,1590,1208774,1208843,372,56,70,37930,77,125,1696,0,1,90,1250,5507,1739,71,2143,98.57,1,25705,10792,18389,8261,8261,9708,1
1595,1611,1594430,1594517,794,59,87,84410,62,127,1696,0,1,90,1002,4296,1839,94,2712,100,1,28998,12041,19395,8161,8161,9993,1
10,22,1678200,1678232,227,28,32,23706,77,127,1698,0,1,90,118,4089,3750,71,4286,100,1,23560,10792,15051,6250,6250,6330,1
1593,1608,1724027,1724129,927,65,103,89508,68,127,1698,0,1,90,1060,3941,1471,88,2308,99.03,1,29671,11761,20086,8529,8529,9997,1
9,18,1743219,1743250,227,22,31,21864,74,126,1698,0,1,90,106,1864,2903,53,4091,100,1,23560,9542,14914,7097,7097,4613,1
1505,1514,1751260,1751304,271,35,45,28268,85,127,1700,0,1,90,2188,3157,2045,53,2571,97.78,1,24330,9542,16435,7954,7954,6514,1
1470,1488,1771553,1771642,771,50,89,76380,63,127,1698,0,1,90,2474,5187,2023,106,3600,100,1,28870,12553,19494,7977,7977,9998,1
1643,1656,1809470,1809524,471,37,54,43880,62,125,1698,0,1,90,495,3291,2407,77,3514,100,1,26730,11139,17324,7593,7593,9349,1
1555,1570,1823955,1823987,285,24,32,29895,81,126,1698,0,1,90,1508,4063,4688,88,6250,100,1,24548,11761,15051,5313,5313,7659,1
923,931,1120157,1120180,120,17,23,12238,84,124,1688,1,0,70,8969,3478,3478,47,4706,100,1,20792,9031,13617,6522,6522,3125,1
1540,1558,1511165,1511591,4686,251,427,454421,30,133,1688,1,0,70,1540,3889,422,107,717,99.77,1,36708,12553,26294,9578,9578,10000,1
1251,1256,458923,458941,70,15,18,8051,106,127,1356,0,1,40,1475,2222,2778,37,3333,100,1,18451,6990,12553,7222,7222,1954,1
83,92,3528981,3529007,180,18,26,19118,80,127,1362,0,1,40,1219,2308,3462,66,5000,100,1,22553,9542,14150,6539,6539,3882,1
375,386,1063504,1063527,170,18,23,18052,79,127,1698,0,1,60,4417,3281,4783,65,6111,100,1,22304,10414,13617,5217,5217,4187,1
1136,1142,1421726,1421746,83,14,20,9917,110,134,1696,0,1,60,6533,3083,3000,35,4286,100,1,19191,7782,13010,7000,7000,2288,1
451,465,2550845,2551201,2705,213,359,197957,28,126,1364,1,0,80,6613,4573,393,103,657,99.16,1,34322,11461,25515,9607,9607,10000,1
1331,1336,4270168,4270218,177,15,50,17388,65,126,1360,1,0,100,353,2920,1000,37,3333,100,1,22480,6990,16990,9000,9000,4138,1
172,183,212157,212188,221,26,31,22508,66,125,1358,0,1,40,2533,3519,3548,81,4231,100,1,23444,10414,14914,6452,6452,5642,1
30,38,2277670,2277688,109,16,18,11573,89,126,1358,0,1,40,442,2431,4444,59,5000,100,1,20374,9031,12553,5556,5556,2583,1
389,399,5427410,5427424,104,14,14,11748,84,135,1362,0,1,40,5712,2571,7143,73,7143,100,1,20170,10000,11461,2857,2857,2532,1
450,466,11741476,11741833,3319,221,357,363821,37,133,1360,0,1,40,6618,4189,448,118,724,100,1,35210,12041,25527,9552,9552,10000,1
41,54,12577343,12577396,501,33,53,46520,49,127,1358,0,1,40,604,2729,2453,96,3939,100,1,26998,11139,17243,7547,7547,9294,1
295,308,12725281,12725314,291,20,33,28711,68,126,1358,0,1,40,4345,3217,3939,96,6500,100,1,24639,11139,15185,6061,6061,6995,1
268,279,12917033,12917094,444,43,61,45269,78,126,1360,0,1,40,3941,3383,1803,81,2558,100,1,26474,10414,17853,8197,8197,9212,1
62,74,12987661,12987692,258,27,31,26902,75,125,1360,0,1,40,912,3065,3871,88,4444,100,1,24116,10792,14914,6129,6129,6142,1
18,26,471253,471281,168,24,28,20267,102,143,1360,1,0,70,265,2500,2857,59,3333,100,1,22253,9031,14472,7143,7143,3725,1
16,26,786881,786900,136,19,19,16571,99,143,1358,1,0,70,236,2842,5263,74,5263,100,1,21335,10000,12787,4737,4737,3212,1
19,28,808173,808199,119,26,26,14471,97,143,1358,1,0,70,280,4915,3462,66,3462,100,1,20756,9542,14150,6539,6539,3882,1
16,26,1377748,1377782,257,21,34,31058,91,151,1356,1,0,70,236,2441,2941,74,4762,100,1,24099,10000,15315,7059,7059,5626,1
14,23,1461247,1461302,265,47,56,34055,106,156,1358,1,0,70,206,4647,1636,66,1915,98.21,1,24232,9542,17404,8364,8364,7833,1
13,21,1488612,1488636,105,18,24,13943,120,150,1358,1,0,70,192,4531,3333,59,4444,100,1,20212,9031,13802,6667,6667,3241,1
15,24,1620686,1620708,154,20,22,19711,103,156,1358,1,0,70,221,2222,4091,66,4500,100,1,21875,9542,13424,5909,5909,3329,1
17,26,1651888,1651909,145,18,21,18695,101,156,1358,1,0,70,250,2328,4286,66,5000,100,1,21614,9542,13222,5714,5714,3197,1
1166,1185,2258648,2258662,123,33,17,15858,116,143,1708,1,0,100,6124,5376,7368,111,5758,82.35,0,20899,12787,11461,-2632,-2632,4399,2
7,19,21512,21518,56,13,6,6632,108,132,1354,1,0,70,103,2222,5000,89,9231,100,0,17482,10792,7782,-5000,-5000,1773,2
37,53,50442,50467,226,33,31,25563,100,132,1354,1,0,70,547,4350,6400,118,4848,80.65,1,23541,12041,13979,3600,3600,6574,2
39,51,66522,66578,436,41,56,39043,71,117,1354,1,0,70,576,3512,2143,89,2927,100,1,26395,10792,17482,7857,7857,9216,2
193,205,82308,82319,84,19,11,9155,99,118,1354,1,0,70,2851,3636,9167,89,6316,100,0,19243,10792,10414,-833,-833,2432,2
145,159,102099,102111,63,20,15,7752,109,140,1354,1,0,70,2142,6250,8571,103,7000,80,0,17993,11461,10792,-1429,-1429,2901,2
39,60,118073,118242,1590,143,172,154035,80,116,1354,1,0,70,576,5520,1243,155,1469,98.26,1,32014,13222,22279,8757,8757,10000,2
141,182,133683,133829,2267,201,161,248809,96,127,1354,1,0,70,2083,6213,2808,303,2040,90.68,1,33554,16128,21644,7192,7192,10000,2
68,103,149046,149092,521,90,54,62926,104,135,1354,1,0,70,1004,6764,7609,258,3889,85.18,1,27168,15441,16628,2391,2391,9998,2
81,94,162885,162940,395,54,59,41476,92,127,1356,1,0,70,1195,4475,2364,96,2407,93.22,1,25966,11139,17404,7636,7636,9400,2
0,17,177337,177387,353,53,56,32335,79,118,1352,1,0,70,0,5847,3400,126,3207,89.29,1,25478,12305,16990,6600,6600,9747,2
94,106,190885,190920,205,33,36,22913,98,125,1354,1,0,70,1389,5119,3429,89,3636,97.22,1,23117,10792,15441,6571,6571,6868,2
10,21,204933,204953,135,16,23,8781,46,86,1356,1,0,70,148,3864,5500,81,6875,86.96,1,21303,10414,13010,4500,4500,3663,2
3,15,221100,221142,294,35,42,20642,47,95,1356,1,0,70,44,4167,2857,88,3429,100,1,24683,10792,16233,7143,7143,7933,2
16,24,240377,240390,71,12,13,6820,86,110,1356,1,0,70,236,3173,6154,59,6667,100,1,18513,9031,11139,3846,3846,2105,2
144,150,254652,254670,56,16,19,6593,109,126,1354,1,0,70,2127,4815,3333,44,3750,94.74,1,17482,7782,12553,6667,6667,2150,2
30,39,274230,274244,54,17,15,5912,97,132,1354,1,0,70,443,5714,6429,66,5294,93.33,1,17324,9542,11461,3571,3571,2359,2
63,82,287835,287869,400,49,42,35427,78,101,1356,1,0,70,929,3808,5588,140,3878,80.95,1,26021,12787,15315,4412,4412,9082,2
166,174,303149,303167,82,22,21,9467,105,127,1358,1,0,70,2445,4306,4444,59,3636,85.71,1,19138,9031,12553,5556,5556,2583,2
158,168,319303,319317,69,14,14,7659,98,125,1358,1,0,70,2327,5071,7143,74,7143,100,1,18389,10000,11461,2857,2857,2532,2
174,194,334304,334316,114,38,21,13595,106,134,1354,1,0,70,2570,5250,6000,148,5263,57.14,0,20569,13010,10792,-4000,-4000,3977,2
513,529,350481,350500,158,28,19,15719,89,111,1354,1,0,70,7577,4803,8421,118,5714,100,1,21987,12041,12787,1579,1579,5029,2
25,37,362724,362736,57,15,12,4557,70,93,1354,1,0,70,369,6042,10000,89,8000,100,0.5,17559,10792,10792,0,0,2583,2
9,18,374580,374591,74,15,11,4347,36,84,1356,1,0,70,133,2525,8182,66,6000,100,1,18692,9542,10414,1818,1818,2051,2
185,199,387402,387414,75,23,12,8535,104,127,1356,1,0,70,2729,5536,8571,103,6087,100,0,18751,11461,10792,-1429,-1429,2901,2
134,156,411630,411717,787,94,94,85268,94,124,1356,1,0,70,1976,5888,2529,162,2340,92.55,1,28960,13424,19395,7471,7471,10000,2
81,216,425023,425176,5027,748,403,611544,93,143,1358,1,0,70,1193,7566,8824,994,1805,37.96,1,37013,21303,21847,1177,1177,10000,2
385,408,439180,439212,353,65,40,34230,84,111,1356,1,0,70,5678,5204,7188,170,3539,80,1,25478,13617,15051,2813,2813,9474,2
34,42,451067,451079,59,13,12,5608,85,103,1354,1,0,70,502,3854,6667,59,6154,100,1,17708,9031,10792,3333,3333,2018,2
