variance,skewness,curtosis,entropy,Class
29543,10760,6457.7,89394,0
21616,-68804,81517,-8104.8,0
38200,109279,-40112,-502840,0
-27419,114038,25394,-557930,0
33669,-51856,36935,-114270,0
45597,-24211,26413,161680,0
51129,-4987.1,6286.3,111890,0
33397,-46145,39823,-23751,0
42027,2276.1,9610.8,97282,0
35438,12395,19970,215470,0
23136,106651,-35288,-476720,0
-18584,78860,-16643,-183840,0
31060,95414,-42536,-400300,0
29163,108306,-33437,-412200,0
39922,-44676,37304,-10950,0
15180,56946,948.18,-2673.8,0
32351,96470,-32074,-259480,0
42188,68162,-12804,76076,0
17819,69176,-12744,-157590,0
25331,29135,-8220,-12243,0
38969,74163,-18245,14007,0
21080,67955,-1708,49050,0
28969,7076.8,22900,186630,0
9297,-37971,46429,-29570,0
34642,106878,-34071,-410900,0
40713,104023,-41722,-475820,0
-14572,91214,17425,-512410,0
-15075,19224,71466,89136,0
-9171.8,99884,11804,-522630,0
29940,72011,-12153,32110,0
-23430,129516,33285,-594260,0
37818,-28846,22558,-15734,0
46689,13098,554.04,190900,0
34663,11112,17425,133880,0
32697,-43414,36884,-29829,0
51302,86703,-28913,-150860,0
20139,61416,3792.9,56938,0
4339,55395,20330,-40432,0
-10401,93987,8599.8,-533360,0
41605,112196,-36136,-408190,0
54380,94669,-49417,-392020,0
50320,82026,-26256,-103410,0
52418,105388,-41174,-427970,0
-2062,92207,-37044,-681030,0
20911,9435.8,45512,123400,0
17317,-3476.5,41905,-99138,0
41736,33336,-14244,60429,0
39232,-32467,34579,83705,0
38481,101539,-38561,-422280,0
5195,-32633,30895,-98490,0
38584,7842.5,11033,170080,0
17496,-1759,51827,129220,0
36277,9829,6886.1,63403,0
27391,74018,716.84,-253020,0
45447,82274,-24166,-158750,0
-17599,119211,26756,-332410,0
50691,2131.3,2027.8,120950,0
34591,111120,-42039,-509310,0
19358,81654,-234.25,-225860,0
24860,-9953.3,53404,-15475,0
24226,-45752,59470,21507,0
39479,-37723,28830,1981.3,0
22634,-44862,36558,-61251,0
13566,42358,21341,32110,0
50452,38964,-14304,86291,0
35499,86165,-32794,-120090,0
1734.6,78695,2687.6,-378830,0
24008,93593,-33565,-335260,0
48851,15995,-2.9081,164010,0
41927,-32674,25839,21766,0
11166,86496,-9625.2,-181120,0
10235,69010,-20062,-271250,0
-18030,118818,20458,-527280,0
1173.9,62761,-15495,-247460,0
5706,-248,12421,-56210,0
40552,-24583,22806,103230,0
-16952,10657,88294,94955,0
-11193,107271,20938,-565040,0
18799,24707,24931,37671,0
35830,-37971,34391,-12501,0
1908.1,91297,-37250,-582240,0
36582,56864,-17157,-23751,0
-1314.4,-17775,83316,35214,0
23925,97980,-30361,-282240,0
16426,30149,2284.9,-14700,0
-1178.3,-15789,80300,-2803.1,0
-6957.2,86165,18419,-432890,0
29421,74101,-9770.9,-88406,0
-17559,119459,30946,-489780,0
-12537,108803,19310,-432370,0
32585,-44614,38024,-15087,0
18314,63672,-362.78,4955.4,0
45645,-36275,28684,27714,0
27365,-50325,66608,-57889,0
9297,-37971,46429,-29570,0
39663,101684,-41131,-460560,0
14578,-848.5,41785,59136,0
48272,30687,6860.4,80731,0
-23410,123784,7040.3,-758360,0
-18584,78860,-16643,-183840,0
41454,72570,-19153,-86078,0
19157,60816,2370.5,-201160,0
40215,-21914,24648,114090,0
58862,58747,-28167,-30087,0
-20897,108265,23603,-341980,0
40026,-35943,35573,26809,0
-7868.9,95663,-37867,-750340,0
41757,102615,-38552,-430560,0
8329.2,75404,6500.5,-92544,0
48077,22327,-2633.4,155340,0
53063,52684,-28904,-52716,0
25605,92683,-35913,-135600,0
21059,76046,-4775.5,-184610,0
21721,-7387.4,54672,-72371,0
42899,91814,-46067,-432630,0
35156,101891,-42759,-497800,0
26140,80081,-37258,-130690,0
6808.7,23259,49085,54998,0
41962,7449.3,8325.6,75300,0
60919,29673,-13267,145510,0
13234,32964,2362,-11984,0
13264,10326,56566,-41337,0
-1673.5,76274,12061,-362410,0
-13000,102678,-29530,-586380,0
-22261,125398,29438,-352580,0
24196,64665,-7568.8,22800,0
10987,6394,59890,-58277,0
46464,105326,-45852,-420600,0
-3603.8,41158,31143,-37199,0
13562,32136,43465,78662,0
5706,-248,12421,-56210,0
-26479,101374,-13310,-547070,0
31219,-31370,19259,-37458,0
54944,15478,416.94,192840,0
-13389,15520,70806,103100,0
-23361,119604,30835,-544350,0
22596,-331.18,47355,-27760,0
4690.1,-6332.1,73848,36507,0
27296,28701,5112.4,50990,0
20466,20300,21761,-8363.4,0
-13274,94980,24408,-526890,0
38905,-21521,26302,110470,0
39994,9042.7,11693,168920,0
23952,95083,-31783,-300860,0
32704,69321,-10456,23447,0
-13931,15664,75382,78403,0
16406,35488,13964,-36424,0
27744,68576,-10671,7541.6,0
24287,93821,-32477,-145430,0
42134,-28060,20116,67412,0
16472,4821.3,47449,122500,0
20597,-9932.6,52119,-29312,0
3798,7098,7572,-44440,0
10135,84551,-16720,-208150,0
45691,-44552,31769,429.61,0
5746.1,101105,-16917,-439220,0
5734,91938,-9094,-187200,0
52868,32570,-13721,116680,0
40102,106568,-41388,-506460,0
41425,-36792,38281,162970,0
30934,-29177,22232,22283,0
22034,59947,5300.9,84998,0
37440,7945.9,9585.1,100770,0
30329,22948,21135,35084,0
37731,72073,-16814,-94742,0
31557,28908,5969.3,79825,0
18114,76067,-9788,-246680,0
49880,72052,-32846,-116080,0
24830,66155,-7928.7,-90863,0
15940,47055,13758,8188.2,0
-161.03,97484,1539.4,-161340,0
38496,97939,-41508,-445820,0
9297,-37971,46429,-29570,0
49342,24107,-1759.4,162450,0
38417,100215,-42699,-491590,0
53915,99946,-38081,-336420,0
44072,-703.65,20416,113190,0
26946,67976,-4030.1,44912,0
52756,1386.3,1213.8,114350,0
34312,62637,-19513,-36165,0
40520,-1655.5,4538.3,51248,0
13638,-47759,84182,-188360,0
8956.6,77763,-27473,-193530,0
19265,77557,-1682.3,-307710,0
2097.7,-4614.6,77267,90946,0
40680,-29363,21992,50084,0
28770,-40599,36259,-32544,0
3223,-8980.8,80883,69222,0
-13000,102678,-29530,-586380,0
17747,-64334,81500,-89828,0
13419,-44221,80900,-173490,0
8960.6,105471,-14175,-403270,0
4412.5,29487,43225,71550,0
32422,62265,1222.4,-144660,0
25678,35136,6140.6,-40691,0
-22153,119625,785.38,-778530,0
41349,61189,-24294,-19613,0
19340,-9.28E-02,48160,-33967,0
25068,11588,39249,12585,0
21464,60795,-5778,-223020,0
519.79,70521,-20541,-315080,0
12706,80350,-1965.1,-218880,0
11430,8339.1,54552,-56984,0
22928,90386,-32417,-129910,0
3292,-44552,45718,-98880,0
29719,68369,-2702,71291,0
16849,87489,-12641,-138580,0
-19177,116894,25454,-327630,0
23729,104726,-30087,-320130,0
10284,97670,-13687,-178530,0
2745.1,92186,-32863,-484480,0
16032,-47863,85193,-212030,0
46160,101788,-42185,-442450,0
42478,76956,-27696,-107670,0
40215,-27004,24957,36636,0
50297,-49704,35025,-23751,0
15902,22948,32403,18404,0
21274,51939,-17971,-117630,0
11811,83847,-20567,-90345,0
3292,-44552,45718,-98880,0
57353,52808,-22598,7541.6,0
26718,56574,7297.4,-148920,0
15799,-47076,79186,-154870,0
29499,22493,13458,-3708.3,0
5195,-32633,30895,-98490,0
37352,95911,-39032,-334870,0
-17344,20175,77618,93532,0
38840,100277,-39298,-408190,0
35257,12829,19276,179910,0
44549,24976,10313,96894,0
-1610.8,-64624,83573,-152160,0
42164,94607,-49288,-523660,0
35152,68224,-6737.7,-46898,0
16988,29094,29044,11033,0
10607,24542,25188,-17027,0
20421,12436,42171,90429,0
35594,13078,12910,165560,0
30009,58126,-22306,-66553,0
39294,14112,18076,89782,0
34667,-40724,42882,154180,0
39660,39213,7057.4,33662,0
10191,23300,49334,82929,0
9641.4,56160,22138,-12501,0
18205,67562,99.913,39481,0
49923,78653,-23515,-71984,0
-11804,115093,1556.5,-681940,0
40329,2317.5,8908.2,118230,0
6601.8,103878,-14029,-391510,0
35982,71307,-13035,21248,0
-18584,78860,-16643,-183840,0
40972,4697.2,16671,91593,0
33299,9125.4,15806,39352,0
31088,31122,8085.7,43360,0
-42859,85234,31392,-91639,0
-12528,102036,21787,-560380,0
5195,-32633,30895,-98490,0
3292,-44552,45718,-98880,0
8887.2,53449,20450,-19355,0
35458,93718,-40351,-395640,0
-2166.1,80329,18848,-388530,0
27206,90821,-33111,-96811,0
32051,86889,-29033,-78190,0
26917,108161,-33000,-428880,0
-23242,115176,18231,-537500,0
27161,-42006,41914,16981,0
33848,32674,9096.7,25128,0
17452,48028,20878,62627,0
28050,5773.2,13424,121330,0
57823,55788,-24089,-5647.9,0
38999,17340,16011,96765,0
35189,63320,-17791,-2027.3,0
32294,77391,-3781.6,-254050,0
34985,31639,2267.7,-16510,0
21948,13781,11582,85774,0
22526,99636,-31749,-299440,0
41529,-39358,28633,-1768.6,0
7430.7,111700,-13824,-407280,0
19105,88710,-23386,-75604,0
-15055,703.46,68681,-50648,0
5883.6,107727,-13884,-432760,0
32303,78384,-35348,-121510,0
-19922,116542,26542,-521070,0
28523,90096,-37610,-333710,0
42772,24955,4855.4,36119,0
15099,393.07,62332,-30346,0
54188,101457,-40840,-369910,0
8620.2,26963,42908,54739,0
38117,101457,-40463,-456290,0
5477.7,103754,-15435,-416330,0
23718,74908,159.89,-174140,0
-24953,111472,19353,-346380,0
46361,-26611,28358,119910,0
-22527,115321,25899,-327370,0
37982,104230,-41602,-497280,0
-3627.9,82895,-19213,-333320,0
21265,68783,4478.4,-222240,0
8673.6,55643,16765,-16769,0
37831,100526,-38869,-373660,0
-22623,121177,2884.6,-775810,0
12616,44303,-13335,-175170,0
26799,31349,3407.3,58489,0
-3981.6,59781,13912,-116210,0
43937,3579.8,20416,120040,0
29695,56222,2756.1,-115560,0
13049,-1552.1,64911,-75346,0
22123,-58395,77687,-85302,0
19647,69383,5772.2,66377,0
30864,-25845,22309,30947,0
3798,7098,7572,-44440,0
5898.2,74266,12353,-295950,0
1478.3,79460,10742,-334090,0
-620.25,61975,10990,-113100,0
42230,11319,7220.2,96118,0
6429.5,71018,3493,-41337,0
19410,4635.1,46472,108790,0
40047,4593.7,13621,161810,0
37767,97794,-39075,-353230,0
34769,-1531.4,25300,244950,0
19818,92621,-35210,-187200,0
38023,-38696,40440,95343,0
43483,111079,-40857,-425390,0
11518,13864,52727,-43536,0
-12576,15892,70078,42455,0
19572,-51153,86127,-142970,0
-24840,121611,28204,-374180,0
-11497,12954,77010,62627,0
48368,100132,-43239,-432760,0
-1219.6,88068,9456.6,-422670,0
19429,63961,922.48,58102,0
17420,-48090,82142,-206590,0
-15222,108409,27827,-409740,0
-13000,102678,-29530,-586380,0
34246,-1469.3,8034.2,29136,0
25503,-49518,63729,-41596,0
15691,63465,-1828,-240990,0
13087,49228,20013,22024,0
51776,82316,-32511,-156940,0
22290,96325,-31123,-271640,0
56272,100857,-42931,-381420,0
12138,87986,-21672,-74182,0
3798,7098,7572,-44440,0
5415,60319,16825,-46122,0
40524,56802,-19693,2627.9,0
47285,21065,-2830.5,156250,0
34359,6621.6,21041,189220,0
8681.6,102429,-14912,-400820,0
33590,98022,-38209,-371330,0
36702,29942,8514.1,30688,0
13349,61189,4649.7,49826,0
31887,-34143,27742,-20260,0
24527,29653,2002.1,-5647.9,0
39121,29735,9285.2,60558,0
39364,105885,-37250,-431330,0
39414,-32902,31674,108660,0
36922,-39585,43439,135170,0
56810,77950,-26848,-92544,0
7712.4,90862,-12281,-149960,0
35761,97753,-39795,-346380,0
16020,61251,5292.4,47886,0
26682,102160,-34414,-400690,0
20007,18644,26491,47369,0
6421.5,31287,42933,64696,0
43848,-30729,30423,127410,0
7744.5,90552,-24089,-138840,0
9657.4,83930,-13610,-146590,0
30948,87324,-29007,-96682,0
49362,76046,-23429,-85302,0
-19458,112217,19079,-344050,0
57403,-4428.4,3801.5,137630,0
-26989,121984,6766.1,-854820,0
11472,35985,19387,-43406,0
29742,89600,-29024,-103790,0
45707,72094,-32794,-149440,0
1848,65079,20133,-87242,0
8725.6,92931,-7843,-219780,0
3955.9,68866,10588,-67587,0
38384,61851,-20439,-3320.4,0
28209,73108,-8185.7,-187840,0
25817,97546,-31749,-299570,0
38213,2317.5,20133,205640,0
3798,7098,7572,-44440,0
34893,66900,-12042,-38751,0
-17781,8546,71303,2757.2,0
20962,24769,19379,-4096.2,0
9473.2,-5711.3,71903,-67587,0
28261,94007,-33034,-105090,0
71.249,83661,5078.1,-381550,0
9678.8,71907,12798,-245650,0
47432,21086,1368,165430,0
36575,72797,-22692,-114400,0
38832,64023,-24320,-98363,0
34776,88110,-31886,-92285,0
11315,79212,10930,-284440,0
28237,28597,1967.8,57196,0
19321,60423,2601.9,-205300,0
30632,-33315,51305,82670,0
-18411,108306,27690,-309010,0
28084,113045,-33394,-441940,0
25698,-44076,59856,7800.2,0
-1262.4,103216,-37121,-611850,0
33756,-40951,43670,106980,0
-480.08,-16037,84756,75558,0
5706,-248,12421,-56210,0
8844.4,65906,5583.7,-44182,0
38644,37061,7040.3,35214,0
12999,25762,20107,-18967,0
20051,-68638,81320,-24010,0
49294,2772.7,2079.2,33662,0
28297,63485,-7354.6,-58665,0
25650,86330,-29941,-130820,0
20930,83061,228.44,-327240,0
46014,56264,-21235,19309,0
50617,-3579.9,4469.8,99868,0
-2951,90489,-5272.5,-207890,0
35770,24004,18908,73231,0
39433,25017,15215,90300,0
26648,107540,-33994,-416850,0
59374,61664,-25905,-36553,0
20153,18479,31375,42843,0
58782,59409,-28544,-60863,0
-23983,126060,29464,-578880,0
17620,43682,21384,75429,0
42406,-24852,16080,71550,0
34669,68700,-10568,-73147,0
31896,57526,-1853.7,-30087,0
8135.6,91566,-21492,-418140,0
5285.5,9642.7,40243,-104830,0
21319,-20403,25574,-6165.2,0
3311.1,45731,20570,-18967,0
12746,88172,-15323,-179570,0
22091,74556,-13284,-330210,0
25328,75280,-4192.9,-264780,0
36244,14609,13501,192840,0
-13885,125026,6911.8,-754870,0
57227,58312,-24097,-24527,0
33583,103567,-37301,-369910,0
25227,22369,27236,79438,0
453.04,67334,10708,-93320,0
48278,77598,-24491,-122160,0
19476,-47738,85270,-186680,0
27659,6621.6,41494,-28406,0
-1064.8,-7677.1,77575,64179,0
7225.2,-538.11,56703,-135090,0
42475,14816,-4835.5,95343,0
39772,3352.1,22566,216250,0
36667,43020,5592.3,33791,0
28232,108513,-31466,-397840,0
-14217,116542,-576.99,-710250,0
42458,11981,6663.3,94696,0
41038,-48069,33491,-49225,0
14507,87903,-22324,-65259,0
34647,-39172,39746,36119,0
18533,61458,10176,-204010,0
35288,7159.6,19507,193750,0
39719,10367,7597.3,100130,0
35340,93614,-36316,-124610,0
36894,98870,-40788,-436640,0
30672,-44117,38238,-81682,0
26463,-48152,63549,300.3,0
22893,37330,6312,-39786,0
15673,79274,-568.42,-216940,0
40405,5152.4,10279,110600,0
43846,-48794,33662,-2932.4,0
20165,-2524.6,51707,107630,0
40446,111741,-43582,-474010,0
-3372.9,-6497.6,76659,72326,0
-24604,127302,9173.8,-764180,0
41195,109258,-38929,-418020,0
20193,8235.6,46369,142020,0
15701,79129,2901.8,-219530,0
26415,75860,-2856.2,-166770,0
50214,80764,-30515,-171550,0
43435,33295,8359.8,64955,0
18238,-67748,83873,-54139,0
39382,9291,7854.3,67670,0
22517,-51422,42916,-124870,0
55040,103671,-44130,-402110,0
28521,91710,-36461,-120470,0
11676,91566,-20867,-80647,0
26104,80081,-2359.2,-176080,0
3244.4,100670,-11982,-412840,0
38962,-47904,33954,-53751,0
21752,-8091,51022,-67975,0
11588,89331,-20807,-112720,0
47072,82957,-25605,-149050,0
-19667,118052,-4047.2,-787190,0
40552,4014.3,14563,65343,0
23678,-68390,84207,-44829,0
3356.5,68369,6971.8,-55691,0
43398,-53036,38803,-70432,0
15456,85482,4187,-217840,0
14276,83847,-20995,-196770,0
-2780.2,81881,-31338,-252760,0
9361.1,86413,-16351,-130430,0
46352,-30087,26773,121200,0
15268,-55871,86564,-172200,0
9562.6,24728,44578,21636,0
-27914,17734,67756,-39915,0
52032,35116,-12538,101290,0
31836,72321,-10713,-259090,0
6549.7,51815,10673,-42113,0
56084,103009,-48003,-435340,0
11050,74432,4109.9,-303320,0
39292,-29156,22129,30817,0
11558,64003,15506,69610,0
25581,26218,18513,40257,0
27831,109796,-35570,-440390,0
37635,27811,6611.9,34179,0
-26479,101374,-13310,-547070,0
10652,83682,-14004,-165090,0
-14275,118797,4161.3,-699780,0
57456,101808,-47857,-433660,0
50860,32798,-12701,111890,0
34092,54049,-25228,-89958,0
-2361,93221,21307,-437930,0
38197,89951,-43830,-403270,0
-11391,18127,69144,70127,0
49249,6890.6,7734.4,120950,0
25089,68410,-294.23,44912,0
-2062,92207,-37044,-681030,0
39460,68514,-15443,-55820,0
-2780,81881,-31338,-252760,0
18592,32074,-1596.6,-26208,0
5695.3,76294,15754,-322330,0
34626,-44490,35427,15429,0
33951,11484,21401,208620,0
50429,-5297.4,5043.9,110600,0
37758,71783,-15195,40128,0
46562,76398,-24243,-123840,0
40948,-29674,23689,75429,0
18384,60630,5472.3,51248,0
20153,4366.1,45864,-31510,0
35251,7201,16928,64438,0
37570,-54236,38255,-125260,0
25989,35178,7623,81119,0
18994,9746.2,42265,81377,0
36941,-39482,42625,115770,0
44295,-23507,17048,90946,0
68248,52187,-25425,54610,0
18967,-25163,28093,-79742,0
21526,-61665,80831,-34355,0
33004,70811,-13258,22283,0
27213,70500,-5880.8,41809,0
38846,-30336,25334,20214,0
41665,-4449,2344.8,27843,0
9422.5,58561,18762,-32544,0
51321,-310.48,3261.6,111510,0
3825.1,68121,18128,-61251,0
30333,-25928,23183,30300,0
29233,60464,-1116.8,-58665,0
11620,102926,-12821,-403920,0
37791,25762,13098,56550,0
7776.5,59781,11941,-35260,0
-3838.8,-10471,80514,49567,0
2108.4,94359,-945.43,-185900,0
29571,-45938,59068,57196,0
46439,-33729,25976,55257,0
33577,-43062,60241,18274,0
35127,29073,10579,40774,0
26562,107044,-33085,-407670,0
-13612,106940,17022,-290260,0
-2780,81881,-31338,-252760,0
10400,-69321,82888,-129910,0
21881,27356,13278,-18320,0
42756,-26528,21375,94437,0
-1199.6,68741,9199.5,-66940,0
29736,87944,-36359,-137540,0
37798,-33109,26491,6636.5,0
53586,37557,-17345,107890,0
18373,61292,8402.7,55257,0
12262,8959.9,57568,-11596,0
-480.08,-5607.8,77215,45300,0
5706,-248.41,12421,-56208,0
43634,4635.1,14281,202020,0
34820,-41634,35008,-7846.2,0
5194.7,-32633,30895,-98492,0
23164,-26280,31529,-8622,0
-18348,110334,31863,-488880,0
13754,88793,-19136,-53751,0
-1668.2,58974,4983.9,-70044,0
2996.1,71328,-3147.5,-118280,0
2503.5,93262,-36873,-625430,0
24673,13926,17125,41421,0
7780.5,66424,-11425,-105730,0
34465,29508,10271,54610,0
22429,-41427,52333,-40173,0
37321,-38840,33577,-604.86,0
43365,-35840,36884,74912,0
-20759,108223,26439,-483700,0
40715,76398,-20824,-116980,0
7616.3,58209,11959,-64613,0
-5396.6,73273,4658.3,-145430,0
26213,57919,656.86,-157590,0
30242,-33378,25865,-54785,0
58519,53905,-24037,-6165.2,0
5706,-248,12421,-56210,0
39771,111513,-39272,-434440,0
15478,91814,-16326,-173750,0
7405.4,3662.5,21992,48403,0
4957.1,102243,-10970,-401590,0
16450,78612,-8759.8,-355690,0
36077,68576,-11622,28231,0
32403,-37082,52804,41291,0
39166,102491,-40926,-446590,0
39262,60299,-20156,-6553.1,0
55910,104643,-43839,-433790,0
37522,-36978,39943,130510,0
13114,45462,22935,22541,0
37022,69942,-18511,-12889,0
43640,-31039,23757,78532,0
35829,14423,10219,140080,0
46500,-48297,34553,-25174,0
51731,39606,-19830,40774,0
32692,34184,2070.6,-6682.4,0
24012,16223,30312,71679,0
17257,-44697,82219,-180730,0
47965,69859,-19967,-35001,0
40962,101891,-39323,-418270,0
25559,33605,20321,26809,0
34916,85709,-30326,-59182,0
5195,-32633,30895,-98490,0
29856,72673,-4090,-224310,0
40932,54132,-18219,23576,0
17748,-7697.8,55854,130390,0
52012,3269.4,1796.5,117970,0
-4506.2,-13678,70858,-40303,0
48451,81116,-29512,-147240,0
7484.1,72756,11504,-53880,0
51213,85565,-33917,-154740,0
36181,-37454,28273,-71208,0
404.98,85234,14461,-393060,0
-26479,101374,-13310,-547070,0
3798.4,7097.5,7571.6,-44441,0
-9592.3,910.39,62204,-148280,0
28672,100008,-32049,-310950,0
10182,91090,-6206.4,-171290,0
-27143,114535,21092,-396290,0
38244,-31081,24537,52024,0
27961,21210,18385,38317,0
35358,67086,-8185.7,47886,0
-7056,87241,22215,-459650,0
41542,72756,-24766,-120990,0
9270.3,94318,-6626.3,-167280,0
18216,-64748,80514,-41855,0
-24473,126247,7357.3,-766120,0
35862,-30957,28093,24481,0
6619.1,96594,-2881.9,-166380,0
47926,17071,-517.01,149260,0
49852,83516,-25425,-128230,0
7573.6,30294,29164,-6811.7,0
46499,76336,-19427,-37458,0
-235.79,71742,7845.7,-75734,0
8557.4,82.678,66042,-53104,0
8829.8,6600.9,60096,-43277,0
40422,-43910,47466,113700,0
22546,80992,-2487.7,-326980,0
3847.8,65989,-3336,-56466,0
31541,-51711,65991,57455,0
23969,2358.9,48477,143700,0
47114,20755,-2702,123790,0
40127,101477,-39366,-407280,0
26606,31681,19619,18662,0
39310,18541,-234.25,123140,0
172.7,86930,13989,-396680,0
32414,4097.1,14015,119520,0
22504,35757,3527.3,28360,0
-13971,33191,-13927,-199480,1
3901.2,-1427.9,-319.94,35084,1
-16677,-71535,78929,96765,1
-38483,-128047,156824,-128100,1
-35681,-82130,100830,96765,1
-22804,-3062.6,13347,137630,1
-17582,27397,-25323,-223400,1
-8940.9,31991,-18219,-294520,1
3434,1241.5,-2873.3,14654,1
-9854,-66610,58245,54610,1
-24115,-91359,93444,-65259,1
-15252,-62534,53524,59912,1
-6144.2,-910.58,-3181.8,50214,1
-3650.6,28928,-36461,-306030,1
-59034,65679,6766.1,-667970,1
-18215,27521,-7226.1,-235300,1
-7746.1,-18768,24023,113190,1
-18187,-90366,90162,-12243,1
-35801,-129309,131779,-256770,1
-18219,-68824,54681,5731.3,1
-3481,-3869.6,-4784.1,62627,1
4736.8,33605,-45064,-404310,1
-34083,48587,-7688.8,-486680,1
-16662,-3000.5,14238,2498.6,1
-20962,-71059,66188,-33708,1
-26685,-104519,91139,-173230,1
-4746.5,-43496,19901,75170,1
10552,11857,-26411,11033,1
11644,38095,-49408,-409090,1
-44779,73708,-3121.8,-677540,1
-27338,4552.3,24391,21766,1
-22860,-54484,58039,88231,1
-16244,-63444,46575,16981,1
5081.3,4779.9,-19804,57714,1
16408,42503,-49023,-266210,1
8158.3,48400,-52613,-608230,1
-54901,91048,-3875.8,-597630,1
-32238,27935,3227.4,-86078,1
-20631,-15147,12190,44524,1
-9131.8,-20113,-1956.5,6636.5,1
6005,19327,-32888,-32415,1
9131.5,33377,-40557,-167410,1
-2801.5,30729,-33857,-291550,1
-36085,33253,-5195.4,-357370,1
-62003,86806,91.344,-370300,1
-42932,33419,7725.8,-99785,1
-30265,-620.88,6860.4,-5518.6,1
-17015,-103.56,-9933.7,-53104,1
-6432.6,24748,-29452,-102760,1
-8633.9,19348,-23729,-108970,1
-20659,10512,-4629.8,-109740,1
-21333,15685,-842.61,-174530,1
-12568,-14733,28718,44653,1
-31128,-68410,107402,-101720,1
-48554,-59037,109818,-82199,1
-25880,38654,-3336,-127970,1
2439.4,14733,-14192,-58535,1
-15322,-50966,66779,17498,1
-40025,-134979,176772,-332020,1
-40173,-83123,124547,-143750,1
-30731,-5318.1,23877,77627,1
-19790,32301,-13575,-258190,1
-4294,-1469.3,442.65,-15605,1
-22340,-70314,74936,61334,1
-42110,-124736,149704,-138840,1
-38073,-80971,101772,65084,1
-25912,-1055.4,12798,104140,1
-22482,30915,-23969,-267110,1
-14427,32922,-19702,-343920,1
-3941.6,-207.02,-662.67,-44699,1
-15220,-66383,57491,-10691,1
-28267,-90407,90694,-98233,1
-17263,-60237,52419,29524,1
-9425.5,393.07,-2419.2,31593,1
-8956.9,30025,-36067,-344570,1
-62815,66651,5258.1,-701070,1
-23211,31660,-10002,-271510,1
-13414,-20776,28093,60688,1
-22580,-93263,93727,-85949,1
-38858,-128461,127957,-313530,1
-18969,-67893,52761,-32544,1
-5264.5,-2483.2,-4561.3,41938,1
96.613,35612,-44070,-441030,1
-38826,48980,-9231.1,-508010,1
