Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
31992,640338,212887363.7,191487253.7,111175736.1,436968432,32258,201825368.9,774212284,991753984,980466376,948038274,6654394,3315826,898776569,999221466
31994,654535,212171396.1,192422531.8,110263280.6,421302377,32391,201831677.4,789741311,987743509,938453277,951267141,6631600,3349716,904909174,997782541
32015,653676,212929989.3,191810134.6,111010812.7,434206940,32375,201897905,761880964,988880309,941538949,948189147,6650945,3316218,899062659,998056765
32026,654237,230979067.4,176931808.3,130546943.3,642831065,32349,201932586.9,779448988,990015147,940247873,874246265,7212236,2598872,764306531,997778814
32038,645085,224482321.1,181940866.8,123382022.4,585751300,32308,201970415,770514671,991642937,967478615,899716352,7006752,2832168,809489514,998764533
32044,652651,216147146.8,188970540.3,114381398.5,485443520,32395,201989326.4,778069153,989164995,945354229,934499156,6745324,3173206,873288673,998879798
32057,642082,215918285.3,189303386.9,114059388.4,480971470,32301,202030295,779804909,992446054,977128658,935679416,6735449,3184598,875495969,998585347
32066,669313,236436655,173230899.3,136486421.3,680580172,32481,202058653,780878628,987223300,899489569,854599524,7373438,2426053,730340347,996815403
32109,663582,224472352.3,182364496.2,123089941.8,583080944,32567,202194086.3,767625332,985936684,916320600,900752740,6990948,2838822,811355498,998697011
32114,648566,222657507.4,183829036.1,121122055.6,564236127,32393,202209828.5,760670804,991387028,959391600,908165329,6933347,2909259,824764265,998971432
32167,654893,217960517,188204715.9,115810337.7,504381753,32521,202376620.3,760593020,989114726,942496457,928501286,6775904,3106541,862114638,998417873
32213,658216,221481114.3,185295432.4,119528642.2,547784367,32585,202521271.6,762907351,988583704,934338332,914395217,6875520,2964975,836118613,999401225
32218,653595,222756071.4,184404683.9,120797404.2,560975566,32566,202536988.4,754431565,989314008,947743902,909232180,6914025,2914808,826703157,998635954
32233,665493,221233683.7,185592372.9,119204081.7,544289510,32710,202584131.3,775204425,985417304,914584020,915702021,6863577,2976782,838510191,999538373
32251,644051,220980962.8,186027783.5,118789225.3,539747143,32514,202640688.3,764060649,991911177,977040422,917005183,6851910,2988674,840898506,998896821
32258,654808,220804030.1,186277755.8,118534834.8,536918908,32612,202662678.4,775805676,989145100,945408164,917839581,6844939,2996515,842429496,998572412
32262,652419,222698656.3,184512992.9,120695379.1,559941518,32563,202675243.2,781313572,990756380,952462642,910087409,6902816,2921047,828259093,999670452
32279,646556,218181603.8,188553141.8,115713587,503143726,32623,202728634.5,790183599,989455292,970325944,929173821,6759243,3107890,863363990,999029442
32323,649590,217371457.4,189591319,114652642.6,489149967,32615,202866758.7,784843629,991047064,962593368,933272294,6724978,3147053,870997175,998621278
32338,653602,221411341.3,186136273,118951205.9,541530905,32672,202913825.1,782490866,989777179,951253518,916456329,6846785,2979295,839892203,999061903
32355,657166,221279621,186360409.9,118737462,539174328,32720,202967153.7,783793605,988844743,941458316,917242866,6839117,2986188,841334475,998979202
32368,675385,221658064.9,186176229.3,119058198.7,542701939,32806,203007924.9,759099437,986648784,891708502,915860765,6848062,2972113,838800941,998661291
32376,643009,219130013.7,188300427.4,116372552.5,511456521,32608,203033010.9,784302326,992885182,984008731,926541314,6768286,3076930,858478807,999033700
32433,653760,219836697.1,188009236.8,116928668.4,518261408,32775,203211658.5,769320176,989565217,953586944,924375508,6778180,3052717,854470079,999120486
32465,653850,225202449.4,183692094.6,122597790.6,578509868,32767,203311883.1,765034405,990783410,954265043,902796056,6936777,2842471,815040719,999221913
32514,649012,221445489.9,187134423.2,118334984.1,534673644,32843,203465256.4,784983100,989982645,970006874,918805149,6810774,2994125,844202902,998987370
32518,651651,221262785.4,187256110.6,118160515.4,532696427,32811,203477771.6,758915235,991070068,962284651,919620402,6804317,3001917,845701683,999285467
32518,655131,220821199.2,187665586.5,117667390.9,527019605,32842,203477771.6,794032183,990134584,952088655,921459408,6790737,3019962,849087441,999099038
32525,663914,225077855.6,184214734.2,122182330.6,574579254,33000,203499671.2,769057978,985606061,927264249,904130132,6920149,2852456,817451295,998781044
32578,657571,227037574,182842305.7,124171248.6,592813998,32901,203665406.7,781922043,990182669,946779791,897055950,6969046,2783756,804709378,999217682
32581,649583,224424177.9,184923471.3,121360569.5,566603091,32851,203674783.9,772061611,991781072,970297635,907543857,6888192,2882408,823635852,999569160
32615,664789,218146746.3,191002277,114211594.6,483095172,33016,203781028.9,808562858,987854374,927383997,934146543,6688540,3141747,872629764,996644368
32622,657009,235270869.8,177158189.5,132802706.1,658024288,32902,203802896,779311992,991489879,949681133,866247896,7212031,2504991,750385418,996532141
32698,653049,225014190.6,185143724.3,121534873.3,568317852,32994,204040159.4,767684831,991028672,963472928,906787962,6881589,2870063,822264408,999338006
32705,654454,223875867.5,186149929.8,120266426,555543833,33021,204061998.7,779469946,990430332,959545923,911496183,6845310,2914690,830825292,999203884
32713,660043,215416320.8,193486462.1,111334053.3,439591560,33020,204086955.1,799516082,990702604,943595321,947407115,6585037,3272537,897580242,999312465
32729,656679,214265720.7,194793825,109996156.5,416528466,33066,204136858.7,769153036,989808262,953753937,952727566,6546663,3327167,907689816,998423911
32774,660614,222870051.3,187479247.7,118877184.6,540717403,33120,204277147.1,790153816,989553140,943721321,916575134,6800209,2960563,840109976,998699087
32775,649807,220025099.5,189809403.8,115918966.6,505764488,33062,204280263.6,772630835,991319339,975402341,928440728,6713199,3076990,862002186,999224026
32795,651030,225210252.1,185600231.2,121341579.5,566415511,33091,204342582.1,775992617,991054970,972334053,907341385,6867213,2871066,823268390,998966867
32796,654824,223145368.7,187419262.1,119062131.7,542744878,33111,204345697.6,800820453,990486545,961128742,915751462,6804042,2951598,838600740,998455917
32799,653729,219905549.4,190112339.6,115671370.9,502601593,33087,204355043.6,746177996,991295675,964439446,929285523,6704642,3084267,863571584,998905089
32829,658101,221599500,189002627.5,117246782.7,522071263,33154,204448480.1,789785166,990197261,952538233,922603526,6750114,3016833,851197267,998001409
32836,669190,218406003.8,191758772.8,113896225.2,478674896,33225,204470275.8,802914710,988291949,921427620,936193476,6651419,3151785,876458224,998252833
32849,664105,230722307.6,181743685.5,126949284.1,616038378,33245,204510747.4,746568182,988088434,935962647,886393473,7023724,2674566,785693388,997432131
32870,655512,220358162.9,190020659.8,115965370.9,506352834,33198,204576107.7,781242573,990119887,961276389,928379984,6703930,3071937,861889394,999493233
32885,659728,227067403.7,184559693.2,123031957.7,582547095,33225,204622780.8,785669916,989766742,949462632,901154360,6904893,2808882,812079180,999116914
32920,671612,219093133.8,191462212.5,114431527.2,486132629,33376,204731643.4,777974713,986337488,917134004,934450294,6655320,3130210,873197353,999213067
32925,656646,225128170.2,186461528.3,120737061.6,560364527,33252,204747190.5,768683025,990166005,959562001,909469438,6837606,2885601,827134659,998658083
32934,668197,221408730.8,189601811.1,116775641.3,516407505,33401,204775172.2,776708646,986018383,926926508,924873972,6722801,3034312,855391863,998889334
32947,668231,209693292.7,200249599.3,104715961.2,296720861,33336,204815583.6,765319396,988330934,927198033,976738840,6364564,3573241,954018762,999009917
32951,688260,226649046.2,185521575.5,122168564.9,574447868,33524,204828016.2,770801656,982907768,874124721,903723266,6878366,2830133,816715741,997769900
32988,676797,224751709.9,187177294.5,120074238,553546741,33461,204942982.6,766699205,985864140,905000877,911863953,6813135,2905675,831495868,998412327
33006,669769,223527749.1,188242941.2,118744292.7,539249994,33458,204998888.8,757018349,986490525,924597414,917107114,6772337,2955279,841085458,998740978
33010,665850,224971259.2,186890091.5,120376236.9,556677424,33374,205011310.4,791587732,989093306,935626643,911277783,6815246,2899108,830427198,999637011
33013,652684,223781853.9,188029142.3,119014452.3,542223823,33289,205020626,789784689,991708973,973842946,916162872,6778598,2945848,839354409,998953052
33019,655703,224450211.4,187502627.2,119705102.2,549663318,33340,205039256.1,764328704,990371926,965071386,913517768,6797608,2920141,834514712,998956688
33051,663071,218951371.4,192473941.7,113756371.1,476689675,33423,205138587.8,777926846,988869940,944657550,936913921,6624652,3148775,877807695,998562178
33058,655511,224445878.8,187878161.2,119463527.5,547087283,33320,205160310.2,799274662,992136855,966777360,914074748,6789457,2923760,835532645,998156772
33062,667966,222039143.6,189781341.2,116997351.9,519088990,33439,205172721.9,778662270,988725739,931172778,924038522,6715841,3020233,853847189,998978601
33078,659456,235560077.5,178931232.8,131648384.6,650391531,33333,205222361.5,787721471,992349923,955822961,871210282,7121352,2530662,759007355,999220922
33078,652214,221386902.5,190354812.1,116302235.8,510582618,33327,205222361.5,772417336,992528580,977167183,926985107,6692874,3048481,859301388,999386727
33089,663915,217335822.1,194207048.9,111909337.7,448903019,33466,205256481.7,774410223,988734835,943340640,944420849,6568220,3223218,891930741,998153785
33090,653809,228406675,184688554.8,123671266.6,588365282,33352,205259583.3,769355964,992144399,972758069,898658427,6902589,2776965,807586968,998753033
33143,648385,222526309.5,189737379.3,117281218.1,522480157,33377,205423898.9,769979556,992989184,990685400,923144321,6714127,3007791,852195437,999465189
33159,653801,222444028.7,189980420,117087870.8,520175444,33415,205473477.8,788111423,992338770,974810341,923708669,6708406,3012584,853237706,999037863
33168,680621,234315548,180582753.9,129755219.1,637220052,33542,205501360.6,761240274,988849800,899742964,877028274,7064506,2578196,769178593,998049369
33171,654338,222253649,190361453.2,116753494.6,516138043,33429,205510654.1,790237278,992282150,973563187,924667176,6700240,3021425,855009387,998253339
33194,664658,232308544.3,182085601.7,127582050.5,621001572,33520,205581889.9,773698809,990274463,944219534,884951910,6998510,2647671,783139883,999145920
33236,660788,210858002.5,200927367.3,104942400.5,303273094,33611,205711909,768284790,988842938,956520582,975594507,6344265,3545182,951784642,998825651
33248,660068,230969834.7,183429248.7,125917669.3,607696024,33511,205749042.2,787661984,992151831,958954568,890804821,6946879,2698359,793533229,999198547
33251,658962,217452163,194983482.5,111523376.3,442693503,33565,205758324.5,757943925,990645017,962263101,946223398,6539718,3233803,895338718,998511968
33276,704493,234788138.4,180705496,129928609.6,638461900,33857,205835660.4,759656652,982839590,842534348,876686794,7055780,2571003,768579735,998604963
33316,670587,229218082.9,185279361.5,123714849.3,588756561,33699,205959337.4,782616866,988634678,931005952,898530058,6880120,2766344,807356266,998819588
33319,668601,225017237.8,188836510.3,119159815.8,543808892,33732,205968610.2,796038800,987756433,936629385,915345918,6753421,2924453,837858150,998390229
33325,674433,223825484.2,189735706.4,117966980.7,530484185,33701,205987154.5,798969072,988843061,920666621,920302508,6716444,2971950,846956707,999129255
33330,653776,224360166.7,189431387.5,118438749.6,535842011,33580,206002606.8,790184922,992555092,979912348,918178168,6731478,2951196,843051148,998499238
33333,679262,220531291.4,192716705.6,114432887.8,486151306,33834,206011877.7,772240756,985192410,907840655,934161662,6616005,3107876,872658010,998607762
33338,659103,232263794.5,182918509.2,126976649.7,616255393,33639,206027328.1,776747437,991052053,964368085,887040223,6966938,2660694,786840358,999103524
33344,661508,225318056.1,188668526,119425354.6,546677680,33692,206045867.2,763352487,989671139,957540959,914466735,6757379,2914941,836249410,998693823
33382,659434,222870104.4,190920249,116734660.5,515908654,33730,206163242.3,781688327,989682775,964671718,925037671,6676356,3015483,855694693,998892294
33399,664701,221559942.5,192089887.9,115341804.2,498328415,33752,206215730.6,761491108,989541361,949927944,930744648,6633730,3070858,866285599,999189440
33421,654804,219544082.3,194025390.3,113152243.6,467930880,33691,206283636.8,763385107,991985990,979504999,939600078,6569046,3158306,882848306,998962666
33423,659036,224168052.8,189981079.7,117994935.6,530804973,33707,206289809,772982724,991574450,967023472,920246246,6707000,2967046,846853153,999243833
33427,665610,228223182,186625865.6,122289148.6,575596241,33789,206302152.8,754491694,989286454,948129347,903949156,6827510,2812018,817124077,999254077
33429,658605,229446090.5,185698093.4,123558667.9,587351259,33713,206308324.5,791743641,991575950,968463377,899158159,6863684,2767460,808485396,998953785
33431,666841,219907407.7,193680468.5,113541344.4,473606709,33788,206314495.9,788708802,989434119,944745090,938188022,6577949,3143618,880196765,999387241
33433,657349,225002512.5,189566015.4,118693486.3,538686621,33708,206320667.2,776807082,991841699,972284135,916970503,6729953,2935035,840834904,998016261
33446,656077,224233933.8,190256598.6,117858689.5,529237524,33713,206360775.9,767814509,992080206,976437440,920292359,6704357,2966471,846938026,998190058
33447,664412,226118615.4,188740640.8,119803882.4,550708725,33791,206363860.8,770224525,989819774,952120901,912635435,6760505,2892999,832903437,997850654
33459,655414,219129947.4,194543100.2,112638252,460233577,33765,206400876.8,786308517,990937361,978794213,941910858,6549208,3179858,887196064,999322138
33468,659987,224459938.9,189954346.4,118165202.9,532749760,33748,206428634.4,792329545,991703212,965536869,919668050,6706703,2959465,845789323,999428669
33498,657523,227938076.9,187316054.3,121686354,569797937,33745,206521132.7,781494961,992680397,973658914,906040516,6804528,2828579,820909416,998934738
33534,657067,218844751.8,195192853.6,112117194.8,452185632,33793,206632076.1,783504673,992335691,976058644,944194798,6526056,3199462,891503816,999529070
33538,658284,227518681.4,187944051.9,121056601.2,563582376,33800,206644399.5,760516111,992248521,972569007,908252449,6783907,2847646,824922510,998623154
33539,662418,223683536.2,191200602.1,116988928.8,518987648,33915,206647480.2,764264880,988913460,960496360,923838579,6669356,2996733,853477720,998474442
33547,653512,213754070.9,199925701.4,106916754.3,353836994,33832,206672124.4,783570411,991576023,987089244,966868717,6371779,3434872,934835117,999495365
33560,669259,227936176.8,187856592.1,121335202.7,566352488,33897,206712164.9,739858907,990058117,941549974,906886164,6791900,2833885,822442514,997912291
33576,666339,224588725.3,190463017.8,117917235.5,529912303,33927,206761434.9,761792399,989654258,950272923,920622505,6688966,2963911,847545797,999402573
33583,657754,221711051.2,192950409.1,114905717.1,492559596,33868,206782986.8,775302429,991584977,975444036,932668830,6601883,3081467,869871147,999531679
33584,658848,223735182.6,191354482.4,116921840.4,518178984,33884,206786065.5,748056576,991146264,972236276,924244739,6661958,2998676,854228338,998779494
33607,690171,214765297.2,199524143.2,107638751.8,369995763,34162,206856862.1,770802752,983753879,886596875,963176382,6390493,3392637,927708744,998574112
33620,670224,222776083.3,192226031.8,115892775.4,505431801,34012,206896866.8,783244805,988474656,940519106,928721179,6626296,3040829,862523029,999601877
33623,659408,217371862,197083782.7,110294139.4,421848171,33918,206906097.6,793238493,991302553,971712750,951853178,6464975,3273607,906024472,999291894
33631,669076,224889400.3,190753366,117895377.1,529660590,34009,206930710.9,762884493,988885295,944058140,920144350,6686967,2956874,846665624,998179631
33639,663030,224662906.4,190853100.5,117715093.9,527574560,33919,206955321.4,786251870,991745040,961582569,921181537,6678644,2966531,848575424,998901357
33717,664363,231622525.5,185653126.2,124760907.7,597950376,33985,207195119.9,766225798,992114168,959948457,894537867,6869607,2713355,800197996,998334283
33731,671696,231172012.6,186126456.2,124201587.1,593081148,34073,207238131.3,803214668,989962727,939493017,896467219,6853399,2730382,803653475,998150371
33736,655729,221390268,194135951.6,114038778.6,480682529,33988,207253490.4,786863834,992585618,985949497,936145442,6562434,3108981,876368289,999399693
33794,665826,218999894,196577721.8,111406263.1,440779117,34127,207431572.3,777731750,990242330,957917183,947176588,6480437,3217421,897143488,999474035
33809,669341,230247497.1,187164299.8,123018918.4,582426873,34143,207477603.1,784067718,990217614,948303455,901106877,6810243,2769795,811993604,998905748
33824,656339,220753864.8,195281545.4,113043894.8,466327555,34079,207523623.6,788438228,992517386,986684731,940067907,6526545,3144127,883727669,999000177
33838,661029,222973513.7,193483638.3,115241534.4,497013692,34146,207566566.9,782128328,990979910,973135967,930902346,6589441,3052424,866579178,998659141
33845,670945,226381604.8,190521424.5,118822124.8,540110507,34159,207588035.3,763926508,990807693,944779673,916982789,6688775,2917233,840857435,999124671
33849,669571,221610481,194671348.9,113838262.4,477854006,34239,207600301.9,786271777,988609480,948773259,936780160,6547032,3110104,877557069,998995719
33858,664460,234335001.4,184139291.6,127259641,618486935,34142,207627899.2,781254326,991681800,963681409,886030247,6921112,2631175,785049599,999051301
33860,683315,225535015.4,191521161.3,117759841.2,528093987,34319,207634031.4,775183150,986625484,911286442,920628804,6660810,2951515,847557394,998082241
33864,662898,221216425.8,195063517.8,113407380.5,471666862,34167,207646295.3,771600437,991131794,968399824,938656768,6532495,3128140,881076528,999205810
33866,668421,230931158.6,186860875.1,123584543,587584681,34171,207652427,799933862,991074303,952518888,899196229,6818968,2749896,808553858,999247591
33876,666966,228149173.2,189164786.8,120608691,559059342,34211,207683082.6,788272251,990207828,956961790,910295136,6734832,2852564,828637234,999408522
33930,666214,224150968.8,192860562.2,116224367.6,509611260,34251,207848545.2,762729010,990628011,960652272,927270341,6606277,3012742,859830285,999332311
33946,667313,231542539.7,187028992.1,123800346.2,589522187,34246,207897545.9,791226721,991239853,957942188,897880563,6820908,2734615,806189505,998065399
33946,668564,234754845,184293738.5,127380803.5,619435383,34280,207897545.9,761530869,990256709,954360587,885594271,6915538,2623886,784277214,999018617
33961,690353,238192498.9,181654297.2,131124065.1,646827292,34379,207943473.5,770405154,987841415,895463526,873005970,7013707,2513022,762139423,999348194
33961,667497,233113834,185733297.8,125509984.9,604309903,34279,207943473.5,771192406,990723183,957837195,892025454,6864163,2680874,795709410,998694760
33969,666389,222361832.6,194769037.2,114166931.1,482473841,34260,207967964.1,764705882,991506130,961251403,935268259,6546022,3089598,874726717,998648649
33972,672812,232988269.3,185915624.7,125319359,602708675,34349,207977147.3,785661425,989024426,943069114,892650724,6858244,2686080,796825316,998576378
33993,669092,219750574.7,197092321.4,111496263.9,442251584,34299,208041418.6,778228022,991078457,954174231,946716153,6464583,3203313,896271473,999309207
33996,663743,223096358.1,194380876.5,114772791.5,490774479,34285,208050598.6,764693974,991570658,969700851,932559367,6562430,3061614,869666974,998141063
34004,659963,229059750.5,189165039.7,121089896.4,563915151,34277,208075076.5,781970795,992035476,981071581,908387772,6736259,2829330,825168345,999195494
34027,670160,231657705.3,187412365.7,123608548.7,587801025,34334,208145434.7,778507367,991058426,952086748,898504258,6808056,2737054,807309902,997904053
34036,666067,226928010.2,191110470.6,118741798.7,539222369,34369,208172959.7,753842746,990311036,964078826,917352422,6667294,2912555,841535465,999254348
34051,677272,227620945.8,190664003.6,119383282.4,546225424,34502,208218826.6,757901531,986928294,932853601,914761275,6684707,2887309,836788190,998985208
34053,671582,232436144.1,186791440.3,124436186,595136326,34362,208224941.4,743986367,991007508,948783552,895837186,6825717,2711717,802524265,998630587
34060,662146,220438377.4,196882203,111964603.2,449779934,34367,208246341.8,789083496,991067012,976218398,944691865,6472060,3179677,892442719,999219950
34082,668346,230626947,188391282.9,122419118,576827653,34364,208313586.1,801740767,991793738,958809282,903249117,6766826,2778401,815858967,998767351
34097,680595,227819142,190810171.2,119395701.3,546359010,34502,208359422,762250738,988261550,925014467,914582595,6681501,2883670,836461323,998698862
34104,667289,229478736,189544041.7,121068820.7,563704561,34421,208380808.7,798426745,990790506,962470112,908061515,6728792,2822136,824575715,998304094
34113,673914,221242366.2,196510381.8,112585586.6,459431581,34492,208408302.6,774661640,989011945,943888774,941990931,6485573,3150032,887346915,999024730
34130,666585,235541347.8,184778034.5,127472590.8,620151121,34392,208460225.6,795515465,992381949,965239485,885026037,6901299,2611769,783271086,998455947
34131,668091,224338018.6,193804212.7,115754975.3,503674085,34473,208463279.5,770625423,990079192,960920889,929237411,6572852,3023015,863482166,999523568
34151,674271,231513600.9,188035623,123122202.7,583377426,34580,208524348,750455974,987593985,943939862,900700206,6779116,2752161,811260861,998842241
34151,662129,226524818.5,192236336.4,117836629,528982779,34389,208524348,778210737,993079182,978876878,920536431,6633036,2938029,847387321,998532653
34179,677064,225060501.7,193592892.8,116254527,509987930,34576,208609813.8,778015524,988518047,936935665,926905486,6584760,2998206,859153780,998805163
34191,661403,223980914.9,194474673,115172280,496101592,34445,208646431.3,771980131,992625925,982176064,931536651,6550873,3042838,867760531,999419589
34207,668737,228032468.7,191415453.5,119129602.4,543480298,34515,208695244.6,757730817,991076344,961200851,915199690,6666252,2884861,837590472,997818199
34207,661138,226873517.7,192194708.1,118043581.9,531362195,34421,208695244.6,774299425,993782865,983423569,919874857,6632371,2929298,846169752,998849085
34220,677527,233183019.3,186959104.2,124724078.2,597632979,34577,208734897,773752996,989675218,936777941,895154791,6814232,2698915,801302100,999416658
34222,671994,223298263.8,195238368.1,114372121.6,485315785,34576,208740996.7,784332600,989761684,952323410,934807970,6524992,3073614,873865941,999459017
34239,666439,232686293.4,187724346.1,123951047.5,590865460,34510,208792837,769554077,992147204,968746459,897314723,6795943,2717745,805173713,998021251
34246,684324,229908504.2,189991144.4,121010116,563116981,34732,208814179.2,779558388,986007140,918959080,908249044,6713441,2818024,824916327,998232204
34253,672539,228004279.9,191368532.3,119144081.4,543637825,34556,208835519.3,792893519,991231624,951641846,915928067,6656476,2889812,838924223,999528560
34254,668704,223968828.6,194929186.1,114897534.4,492450072,34575,208838567.7,775363303,990715835,962616531,932444792,6538472,3048938,869453290,998980392
34259,676402,227544924.1,191868038.2,118594491.4,537585123,34623,208853809.1,770124761,989486757,940967839,917857473,6641902,2907858,842462341,999113929
34276,689626,229558977.2,190411506.6,120559403.9,558556303,34738,208905621.4,763113367,986700443,905675761,910030285,6697368,2833396,828155119,998418874
34291,671507,230658067,189623931.2,121639745.3,569343533,34619,208951327.4,782042510,990525434,955628131,905892129,6726490,2794308,820640549,998225074
34313,671844,220933975.4,198103852,111524320.8,442708884,34600,209018344.9,796975891,991705202,955282162,946067007,6438783,3181787,895042782,998190384
34321,669531,227995845.1,191827326.7,118854726.8,540470046,34652,209042709.5,787467878,990447882,962118171,916870698,6643042,2895870,840651876,999154491
34327,677311,231158128.3,189304371.8,122109239.3,573880789,34714,209060981.2,793596116,988851760,940306539,904406791,6734003,2779127,817951644,998794531
34333,665686,229214864.2,190871870.1,120088342.1,553693873,34592,209079251.2,779056047,992512720,973604944,912153982,6676226,2850909,832024887,999164893
34337,667785,229806760.5,190629584.6,120551466.8,558475195,34583,209091430.4,809796708,992886678,967606759,909857612,6692686,2829267,827840875,997974317
34349,674863,238231243.3,183724936.9,129667342.5,636587835,34645,209127963.5,783365262,991456199,947747671,877836008,6935609,2540493,770596056,999211428
34390,680240,245014670.8,178974510,136899199.1,682950707,34759,209252737,793932958,989384044,933937272,854041663,7124591,2338061,729387163,998525184
34394,669762,230921133.3,189905263.2,121598069.2,568936466,34730,209264906,781681818,990325367,963499612,906218080,6713995,2793133,821231209,998601293
34395,665156,231717147.1,189189825.9,122478651.3,577389526,34638,209267948.2,791235335,992984583,976918090,903118094,6736943,2764527,815622291,998963182
34397,678850,229774702.2,190931594,120343992,556345118,34776,209274032.4,772202766,989101679,937956691,910779256,6680080,2835397,829518854,998276103
34410,684481,232457936.1,188939629.3,123032916.4,582555932,34802,209313575.1,800698080,988736280,922936330,900436348,6755534,2739375,810785617,997533191
