Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
750000000,65217.391,0,8750462963,608695.652,999352.81,87504.62963,0,1,0
14084507,66666.667,0,3329591049,0,0,33295.91049,0,3,0
90909091,32258.065,0,1711342593,419354.839,993592.814,17113.42593,0,5,0
266666667,129032.258,0,5562986111,419354.839,993592.814,42750,100000,5,0
180000000,290322.581,0,7007175926,419354.839,993592.814,69717.12963,100000,5,0
90909091,29411.765,0,132275,470588.235,999935.281,1.32275,0,7,0
50000000,29411.765,0,200082672,470588.235,999935.281,2000.82672,0,7,0
40000000,93750,0,8516319444,437500,993592.814,85163.19444,0,3,0
25641026,31250,0,9666087963,437500,993592.814,96660.87963,0,3,0
34482759,142857.143,0,6989814815,0,0,69898.14815,82352.9412,7,0
0,31250,0,9811381173,437500,993592.814,98113.81173,0,3,0
28571429,40000,0,1423996914,280000,0,14239.96914,0,3,0
466666667,280000,0,2899498457,280000,0,28994.98457,83333.3333,3,0
454545455,200000,100,7829166667,280000,0,78285.87963,100000,3,1
43478261,40000,0,9057831790,280000,0,90578.3179,0,3,0
10416667,40000,0,9129668210,280000,0,91296.6821,0,3,0
30303030,166666.667,0,810185,0,0,8.10185,86666.6667,1,0
28571429,166666.667,0,1273148,0,0,12.73148,76190.4762,1,0
58823529,166666.667,0,95601852,0,0,956.01852,75000,1,0
54054054,111111.111,0,5091666667,0,0,0.33069,77777.7778,7,0
26666667,48780.488,0,739550265,560975.61,993528.095,7394.34524,0,7,0
800000000,97560.976,0,3413177910,560975.61,993528.095,16350.36376,0,7,0
26086957,54545.455,0,9901890432,672727.273,999352.81,98833.71914,0,3,0
250000000,100000,0,9882192460,0,0,98821.9246,100000,7,0
43478261,100000,0,9974884259,0,0,99748.84259,100000,7,0
500000000,100000,0,9931365741,0,0,99313.65741,100000,7,0
40000000,100000,0,9957605820,0,0,99576.0582,100000,7,0
200000000,25000,0,8362268519,550000,993592.814,83622.68519,0,1,0
25000000,76923.077,0,6415779321,0,0,64157.79321,0,3,0
85714286,230769.231,50,6688001543,0,0,66876.54321,100000,3,0
424242424,666666.667,100,9069984568,142857.143,0,70013.11728,80000,3,1
52631579,300000,50,8555539021,0,0,68051.42196,79310.3448,7,1
38461538,166666.667,0,1273148,0,0,12.73148,80000,1,0
37037037,166666.667,0,295601852,0,0,2956.01852,100000,1,0
200000000,166666.667,0,2466087963,0,0,24660.87963,50000,1,0
30303030,166666.667,0,3411805556,0,0,34118.05556,73684.2105,1,0
30769231,200000,0,1350309,0,0,9.25926,78260.8696,3,0
400000000,200000,0,7716049,0,0,77.16049,100000,3,0
3021148,100000,0,4754166667,0,0,47541.66667,84821.4286,3,0
9259259,52631.579,0,5344907407,52631.579,0,53449.07407,0,7,0
67226891,307692.308,0,4351835317,307692.308,993592.814,42445.43651,75757.5758,7,0
8196721,38461.538,0,5599074074,307692.308,993592.814,55990.74074,0,7,0
1000000000,115384.615,0,6088078704,307692.308,993592.814,55441.30291,100000,7,0
55555556,38461.538,0,6584507275,307692.308,993592.814,65845.07275,0,7,0
76923077,38461.538,0,6154861111,307692.308,993592.814,61548.61111,0,7,0
40000000,38461.538,0,6360085979,307692.308,993592.814,63600.85979,0,7,0
9803922,55555.556,0,9968055556,0,0,99680.55556,0,1,0
34482759,83333.333,0,3356481,0,0,33.56481,0,1,0
250000000,83333.333,0,4629630,0,0,46.2963,0,1,0
14925373,37037.037,0,1376339286,333333.333,993528.095,13763.39286,0,7,0
73170732,111111.111,0,2644775132,333333.333,993528.095,26446.9246,100000,7,0
43478261,37037.037,0,9052579365,333333.333,993528.095,90525.79365,0,7,0
100000000,37037.037,0,3113690476,333333.333,993528.095,31136.90476,0,7,0
125000000,142857.143,0,4906018519,0,0,49060.18519,50000,7,0
222222222,214285.714,0,9648611111,357142.857,993528.095,96480.32407,100000,1,0
45454545,35714.286,0,9787268519,357142.857,993528.095,97872.68519,0,1,0
0,52631.579,0,9835466270,52631.579,0,98354.6627,0,7,0
151515152,312500,0,8776669974,0,0,77897.81746,86666.6667,7,0
176470588,187500,50,2989533730,0,0,29893.18783,100000,7,1
235294118,250000,100,3756398810,0,0,37561.17725,100000,7,1
111111111,90909.091,0,49603,0,0,0.49603,0,7,0
22222222,90909.091,0,16534,0,0,0.16534,0,7,0
52631579,62500,0,3875661376,0,0,38756.61376,0,7,0
1000000000,222222.222,100,7622437169,333333.333,993528.095,76221.56085,100000,7,1
36231884,263157.895,100,8051207011,52631.579,0,80511.57407,86567.1642,7,1
20833333,83333.333,0,1023379630,0,0,10233.7963,0,1,0
41666667,166666.667,0,453935185,0,0,4527.77778,100000,1,0
125000000,166666.667,0,1620370,0,0,16.2037,50000,1,0
3021148,166666.667,0,6365741,0,0,63.65741,84821.4286,1,0
1000000000,333333.333,0,489120370,0,0,4578.7037,100000,1,0
38461538,166666.667,0,1452083333,0,0,14520.83333,76923.0769,1,0
28571429,166666.667,0,3623032407,0,0,36230.32407,88888.8889,1,0
69767442,272727.273,0,1062083333,0,0,2573.61111,86666.6667,5,0
35714286,90909.091,0,589189815,0,0,5891.89815,0,5,0
130434783,65217.391,0,9825777116,608695.652,999935.281,97942.79101,0,7,0
3021148,62500,0,46296,0,0,0.46296,0,5,0
200000000,21739.13,0,1388889,608695.652,993592.814,13.88889,0,1,0
500000000,43478.261,0,407060185,608695.652,993592.814,4.62963,0,1,0
200000000,21739.13,0,42361111,608695.652,993592.814,423.61111,0,1,0
25000000,21739.13,0,190625000,608695.652,993592.814,1906.25,0,1,0
66666667,166666.667,0,6080439815,0,993592.814,60804.39815,60000,1,0
105263158,333333.333,0,4718518519,0,993592.814,47185.18519,75000,1,0
333333333,130434.783,50,7387384259,608695.652,993592.814,73405.09259,100000,1,1
23529412,181818.182,0,221213624,0,0,33.56481,93548.3871,7,0
55555556,90909.091,0,99206,0,0,0.99206,0,7,0
250000000,272727.273,0,6924322090,0,0,41.50132,100000,7,0
23255814,100000,0,1851852,0,0,18.51852,86666.6667,1,0
250000000,100000,0,925926,0,0,9.25926,100000,1,0
8264463,100000,0,48726852,0,0,487.26852,81818.1818,1,0
135135135,161290.323,0,9880671296,419354.839,993592.814,96407.24206,77777.7778,7,0
100000000,32258.065,0,9647371032,419354.839,993592.814,96473.71032,0,7,0
500000000,181818.182,0,10317460,0,0,102.18254,100000,7,0
3021148,90909.091,0,41931217,0,0,419.31217,0,7,0
129870130,217391.304,50,7796990741,608695.652,993592.814,73339.12037,92307.6923,1,1
10416667,21739.13,0,9479861111,608695.652,993592.814,94798.61111,0,1,0
24169184,173913.043,50,9861574074,608695.652,993592.814,48511.57407,84821.4286,1,1
454545455,357142.857,100,4604411487,0,0,40662.50864,100000,3,1
166666667,45454.545,0,4458140432,181818.182,0,44581.40432,0,3,0
187500000,136363.636,50,2873263889,181818.182,0,25489.19753,66666.6667,3,0
14084507,45454.545,0,5781520062,181818.182,0,57815.20062,0,3,0
6042296,90909.091,0,8602700617,181818.182,0,86027.00617,0,3,0
875000000,225806.452,50,8781994048,419354.839,993592.814,87617.72487,50000,7,1
50000000,32258.065,0,144460979,419354.839,993592.814,1444.60979,0,7,0
18867925,142857.143,0,7608416005,0,0,76084.16005,85714.2857,7,0
115384615,96774.194,0,5554001323,419354.839,993592.814,55172.4537,0,7,0
357142857,161290.323,50,8585102513,419354.839,993592.814,85845.40344,80000,7,1
142857143,71428.571,0,4852086344,0,0,48520.86345,0,3,0
200000000,71428.571,0,7038388425,0,0,70383.88425,0,3,0
1000000000,214285.714,0,7009874002,0,0,70097.56174,100000,3,0
10416667,166666.667,0,7830902778,0,993592.814,78309.02778,100000,1,0
76923077,333333.333,0,9841435185,0,993592.814,98398.14815,76923.0769,1,0
100000000,153846.154,0,7309490741,0,0,73094.90741,83333.3333,1,0
76923077,100000,0,41666667,0,0,416.66667,83333.3333,5,0
30000000,300000,0,17222222,0,0,169.67593,66666.6667,5,0
40000000,400000,0,1406481481,0,0,14064.81481,66666.6667,1,0
200000000,100000,0,125810185,0,0,1258.10185,100000,1,0
41666667,62500,0,15115741,0,0,151.15741,0,5,0
115384615,187500,0,27847222,0,0,45.60185,91666.6667,5,0
66666667,62500,0,1451342593,0,0,14513.42593,0,5,0
142857143,62500,0,62731481,0,0,627.31481,0,5,0
51724138,187500,0,7357500000,0,0,73570.60185,100000,5,0
142857143,62500,0,864375000,0,0,8643.75,0,5,0
250000000,62500,0,2151319444,0,0,21513.19444,0,5,0
24390244,62500,0,5704884259,0,0,57048.84259,0,5,0
187500000,96774.194,0,5977281746,419354.839,993592.814,9947.08995,0,7,0
22471910,64516.129,0,5778505291,419354.839,993592.814,57784.39153,0,7,0
25974026,64516.129,0,2720535714,419354.839,993592.814,27200.56217,0,7,0
31250000,32258.065,0,3505803571,419354.839,993592.814,35058.03571,0,7,0
66666667,32258.065,0,5813988095,419354.839,993592.814,58139.88095,0,7,0
500000000,60000,0,9542847222,640000,993592.814,95424.07407,0,5,0
200000000,90909.091,0,21130952,0,0,211.30952,0,7,0
107142857,272727.273,0,57655423,0,0,572.42063,87500,7,0
500000000,181818.182,0,85863095,0,0,538.0291,100000,7,0
111111111,200000,0,27121914,0,0,271.21914,100000,3,0
74074074,400000,0,800578704,0,0,16.58951,80000,3,0
29411765,200000,0,2100655864,0,0,21006.55864,92307.6923,3,0
8695652,76923.077,0,9790239198,0,993592.814,97902.39198,0,3,0
100000000,125000,0,9959308862,0,0,99593.08862,100000,7,0
200000000,76923.077,0,2835615079,0,0,28356.15079,0,7,0
43478261,76923.077,0,4873627646,0,0,48736.27646,0,7,0
12987013,76923.077,0,5869163360,0,0,58691.6336,0,7,0
500000000,76923.077,0,6904017857,0,0,69040.17857,0,7,0
43478261,111111.111,0,7486574074,0,0,74865.74074,88235.2941,1,0
10000000,111111.111,0,8747106481,0,0,87471.06481,66666.6667,1,0
40000000,125000,0,2595490963,0,0,25954.90963,90000,1,0
333333333,625000,100,2980870753,0,0,25815.16676,50000,1,1
111111111,125000,0,3242345196,0,0,32423.45196,66666.6667,1,0
43478261,125000,0,5078100739,0,0,50781.00739,80000,1,0
62500000,250000,0,72040344,0,993592.814,719.41138,92307.6923,7,0
357142857,625000,100,24950397,0,993592.814,174.76852,80000,7,1
8264463,125000,0,53753307,0,993592.814,537.53307,81818.1818,7,0
8196721,28571.429,0,6899459877,485714.286,993592.814,68994.59877,0,3,0
16949153,28571.429,0,7070563272,485714.286,993592.814,70705.63272,0,3,0
8264463,28571.429,0,8703587963,485714.286,993592.814,87035.87963,0,3,0
500000000,28571.429,0,9658063272,485714.286,993592.814,96580.63272,0,3,0
17391304,57142.857,0,9564891975,485714.286,993592.814,95646.60494,0,3,0
34482759,100000,0,2314815,100000,0,23.14815,61111.1111,5,0
47619048,50000,0,2083333,100000,0,20.83333,0,5,0
24793388,176470.588,0,6069444444,0,0,284.72222,81818.1818,1,0
200000000,58823.529,0,1563425926,0,0,15634.25926,0,1,0
111111111,176470.588,0,5370023148,0,0,33053.24074,80000,1,0
600000000,352941.176,100,4034606481,0,0,32807.87037,75000,1,1
0,100000,0,9593364198,0,993592.814,95933.64198,100000,3,0
583333333,152173.913,100,1960532407,608695.652,999352.81,19581.01852,100000,1,1
37037037,43478.261,0,2638194444,608695.652,999352.81,26376.15741,0,1,0
28571429,32258.065,0,5695763889,419354.839,993592.814,56957.63889,0,5,0
500000000,161290.323,50,9093726852,419354.839,993592.814,90934.72222,100000,5,1
112500000,219512.195,100,3148280423,560975.61,993528.095,31452.21561,95454.5455,7,1
200000000,166666.667,0,2811226852,0,0,28110.87963,66666.6667,5,0
10869565,83333.333,0,3522523148,0,0,35225.23148,0,5,0
7246377,55555.556,0,446429,0,0,4.46429,0,7,0
250000000,416666.667,100,5724351852,0,0,57231.71296,66666.6667,5,1
111111111,250000,50,5073379630,0,0,50729.16667,80000,5,0
0,83333.333,0,6190740741,0,0,61907.40741,0,5,0
22727273,76923.077,0,1151273148,0,0,11512.73148,0,3,0
11627907,38461.538,0,9835995370,307692.308,993592.814,98359.9537,0,1,0
45454545,38461.538,0,9901157407,307692.308,993592.814,99011.57407,0,1,0
200000000,40000,0,9376195988,280000,0,93761.95988,0,3,0
47619048,40000,0,9930709877,280000,0,99307.09877,0,3,0
500000000,125000,0,10119048,250000,0,96.89153,50000,7,0
142857143,41666.667,0,99041005,250000,0,990.41005,0,7,0
33333333,41666.667,0,276818783,250000,0,2768.18783,0,7,0
49382716,166666.667,100,573958333,250000,0,5731.64683,88571.4286,7,1
28571429,55555.556,0,8066980820,0,0,80669.8082,0,7,0
272727273,88235.294,0,5394345238,470588.235,993592.814,53534.22619,0,7,0
111111111,352941.176,100,5406101190,470588.235,993592.814,53526.12434,82142.8571,7,1
76923077,31250,0,5065393519,437500,993592.814,50653.93519,0,3,0
30303030,31250,0,2561612654,437500,993592.814,25616.12654,0,3,0
250000000,31250,0,2904745370,437500,993592.814,29047.4537,0,3,0
27027027,166666.667,0,1504630,0,0,15.0463,93333.3333,1,0
52631579,166666.667,0,1429166667,0,0,14291.66667,72727.2727,1,0
166666667,166666.667,0,4338773148,0,0,43387.73148,80000,1,0
105263158,83333.333,0,578091931,250000,0,5779.59656,0,7,0
0,41666.667,0,1035218254,250000,0,10352.18254,0,7,0
500000000,37037.037,0,4391121032,333333.333,961233.291,43911.21032,0,7,0
35714286,200000,0,75694444,0,993592.814,756.94444,87500,1,0
285714286,400000,0,3125000,0,993592.814,3.47222,66666.6667,1,0
250000000,58823.529,0,77739198,0,0,777.39198,0,3,0
10309278,41666.667,0,1680856481,250000,999935.281,16808.56481,0,10,0
35087719,83333.333,0,5447754630,250000,999935.281,54475,0,10,0
10638298,41666.667,0,6519664352,250000,999935.281,65196.64352,0,10,0
10204082,41666.667,0,7584687500,250000,999935.281,75846.875,0,10,0
45454545,41666.667,0,7099409722,250000,999935.281,70994.09722,0,10,0
51724138,125000,0,9377731481,250000,999935.281,88292.70833,100000,10,0
90909091,41666.667,0,7663587963,250000,999935.281,76635.87963,0,10,0
222222222,83333.333,0,9379259259,250000,999935.281,93792.59259,0,10,0
181818182,105263.158,0,152546296,526315.789,993592.814,1164.18651,100000,7,0
1000000000,157894.737,0,138888889,526315.789,993592.814,282.57275,100000,7,0
200000000,26315.789,0,186838624,526315.789,993592.814,1868.38624,0,7,0
0,26315.789,0,881812169,526315.789,993592.814,8818.12169,0,7,0
250000000,26315.789,0,1245238095,526315.789,993592.814,12452.38095,0,7,0
333333333,26315.789,0,1375496032,526315.789,993592.814,13754.96032,0,7,0
156250000,131578.947,50,7158134921,526315.789,993592.814,43776.12434,92307.6923,7,1
500000000,78947.368,0,7073974868,526315.789,993592.814,70739.74868,0,7,0
66666667,83333.333,0,3870370370,0,0,38703.7037,0,1,0
333333333,83333.333,0,6725462963,0,0,67254.62963,0,1,0
80000000,400000,0,108935185,0,0,548.61111,100000,5,0
43478261,62500,0,4627149471,0,0,46271.49471,0,7,0
43478261,62500,0,8756564153,0,0,87565.64153,0,7,0
83333333,62500,0,8759292328,0,0,87592.92328,0,7,0
30303030,20833.333,0,8985466270,625000,993592.814,89854.6627,0,7,0
1000000000,41666.667,0,8976570767,625000,993592.814,89764.71561,0,7,0
28571429,52631.579,0,8741848545,52631.579,0,87418.48545,0,7,0
17241379,71428.571,0,49603,0,0,0.49603,0,7,0
31250000,71428.571,0,149785053,0,0,1497.85053,0,7,0
47058824,285714.286,50,54431217,0,0,281.41534,93548.3871,7,1
12987013,83333.333,0,7967708333,0,0,79677.08333,0,1,0
76923077,83333.333,0,8589120370,0,0,85891.2037,0,1,0
31250000,83333.333,0,9026851852,0,0,90268.51852,0,1,0
16129032,83333.333,0,9048842593,0,0,90488.42593,0,1,0
90909091,83333.333,0,9050115741,0,0,90501.15741,0,1,0
250000000,71428.571,0,1143039021,0,0,11430.39021,0,7,0
83333333,142857.143,0,1403141534,0,0,813.32672,90909.0909,7,0
444444444,285714.286,50,4201190476,0,0,19069.44444,100000,7,1
142857143,71428.571,0,3979067460,0,0,39790.6746,0,7,0
100000000,76923.077,0,8772982804,307692.308,993592.814,69335.97884,0,7,0
12987013,166666.667,0,2715185185,0,0,27151.85185,83333.3333,5,0
66666667,166666.667,0,23148,0,0,0.23148,80000,5,0
8695652,166666.667,0,5594421296,0,0,55944.21296,87755.102,5,0
25974026,333333.333,0,7472384259,0,0,57007.17593,92307.6923,5,0
45454545,166666.667,0,6160324074,0,0,61603.24074,100000,5,0
28571429,20833.333,0,181878,625000,993592.814,1.81878,0,7,0
22222222,125000,0,611772,0,0,6.11772,72727.2727,7,0
57142857,250000,0,6185119048,0,0,61851.19048,94736.8421,7,0
45454545,125000,0,3255257937,0,0,32552.57937,92857.1429,7,0
32258065,250000,0,5500876323,0,0,55008.10185,75000,7,0
43478261,125000,0,8597966270,0,0,85979.6627,88235.2941,7,0
117647059,125000,0,12880291,437500,993592.814,61.0119,92307.6923,7,0
126984127,173913.043,100,4968865741,608695.652,993592.814,49673.61111,80952.381,1,1
28571429,76923.077,0,5572090,0,0,55.7209,0,7,0
250000000,65217.391,0,9851967593,608695.652,993592.814,98510.41667,0,1,0
21739130,31250,0,33069,437500,993592.814,0.33069,0,7,0
28571429,31250,0,66138,437500,993592.814,0.66138,0,7,0
111111111,45454.545,0,9336651235,181818.182,0,93366.51235,0,3,0
13333333,125000,0,9806613757,0,0,98066.13757,89189.1892,7,0
26086957,375000,50,132523148,0,0,109.9537,92682.9268,1,1
51282051,153846.154,0,23070988,0,993592.814,3.47222,84615.3846,3,0
7246377,100000,0,6933652220,0,0,69336.5222,86567.1642,7,0
93023256,400000,0,109652778,0,0,133.33333,86666.6667,5,0
1000000000,200000,0,19629630,0,0,75.46296,0,5,0
142857143,200000,0,75486111,0,0,753.93519,100000,5,0
518518519,777777.778,100,9983283730,500000,999935.281,99831.51455,100000,7,1
40816327,105263.158,0,6824614198,52631.579,0,68242.66975,92592.5926,3,0
250000000,21739.13,0,99206,608695.652,999935.281,0.99206,0,7,0
205128205,800000,100,4262302281,0,0,42620.278,50000,7,1
200000000,50000,0,13703704,100000,0,137.03704,0,5,0
250000000,50000,0,289722222,100000,0,2897.22222,0,5,0
25974026,100000,0,805069444,100000,0,8046.75926,83333.3333,5,0
28571429,50000,0,1707407407,100000,0,17074.07407,0,5,0
235294118,200000,100,1289907407,100000,0,10309.02778,81818.1818,5,1
0,62500,0,154321,0,0,1.54321,0,3,0
40000000,62500,0,826273148,0,0,8262.73148,0,3,0
200000000,62500,0,4976852,0,0,49.76852,0,3,0
40000000,62500,0,1350424383,0,0,13504.24383,0,3,0
47619048,142857.143,0,72500000,0,0,725,88888.8889,5,0
157894737,428571.429,0,250393519,0,0,2503.93519,72727.2727,5,0
13333333,21276.596,0,3010135582,617021.277,993592.814,30101.35582,0,7,0
466666667,297872.34,100,5898296958,617021.277,993592.814,53518.84921,100000,7,1
0,62500,0,132275,0,0,1.32275,0,7,0
315789474,375000,100,826720,0,0,2.6455,50000,7,1
100000000,62500,0,100066138,0,0,1000.66138,0,7,0
3021148,142857.143,0,1400949074,0,0,14009.49074,84821.4286,5,0
400000000,285714.286,0,1432500000,0,0,14318.75,100000,5,0
16393443,42553.191,0,5484209656,617021.277,993592.814,54841.60053,0,7,0
55555556,21276.596,0,9867013889,617021.277,993592.814,98670.13889,0,7,0
20618557,117647.059,0,107060185,0,0,1064.81481,75000,1,0
14925373,58823.529,0,5889930556,0,0,58899.30556,0,1,0
714285714,312500,100,143733466,0,0,1436.34259,100000,7,1
17543860,62500,0,202414021,0,0,2024.14021,0,7,0
692307692,562500,100,290277778,0,0,969.90741,100000,1,1
250000000,62500,0,4203240741,0,0,42032.40741,0,1,0
32786885,200000,0,604089506,0,993592.814,6040.12346,83333.3333,3,0
20833333,100000,0,2778665123,0,993592.814,27786.65123,100000,3,0
30769231,200000,0,8053279321,0,993592.814,80528.54938,78260.8696,3,0
47619048,100000,0,9871913580,0,993592.814,98719.1358,84615.3846,3,0
38461538,50000,0,1753935185,100000,0,17539.35185,0,5,0
8264463,50000,0,1969629630,100000,0,19696.2963,0,5,0
35087719,100000,0,2790740741,100000,0,27906.48148,86666.6667,5,0
22727273,50000,0,3905300926,100000,0,39053.00926,0,5,0
46511628,81632.653,0,9408950617,632653.061,993592.814,38393.90432,0,3,0
66666667,20408.163,0,7527469136,632653.061,993592.814,75274.69136,0,3,0
76923077,20408.163,0,8772029321,632653.061,993592.814,87720.29321,0,3,0
85714286,250000,0,20519180,0,0,1.81878,100000,7,0
37037037,83333.333,0,21263228,0,0,212.63228,0,7,0
20833333,83333.333,0,123065476,0,0,1230.65476,0,7,0
47619048,83333.333,0,2611276455,0,0,26112.76455,0,7,0
58823529,83333.333,0,7726008598,0,0,77260.08598,0,7,0
27027027,76923.077,0,9983487654,0,0,99834.87654,0,3,0
115384615,73170.732,0,4470800265,560975.61,993528.095,33840.60847,0,7,0
230769231,88235.294,50,9630555556,470588.235,993592.814,95944.44444,0,7,0
125000000,24390.244,0,9939864418,560975.61,993528.095,99398.64418,0,7,0
57142857,48780.488,0,9974900794,560975.61,993528.095,99749.00794,0,7,0
38461538,24390.244,0,9987748016,560975.61,993528.095,99877.48016,0,7,0
0,142857.143,0,99206,0,0,0.99206,0,7,0
1000000000,93750,50,3320254630,437500,993592.814,33163.19444,0,3,0
58823529,31250,0,7090354938,437500,993592.814,70903.54938,0,3,0
750000000,187500,100,6049807099,437500,993592.814,60495.37037,100000,3,1
428571429,206896.552,100,3379398148,379310.345,993592.814,33767.36111,100000,1,1
23255814,34482.759,0,3737615741,379310.345,993592.814,37376.15741,0,1,0
