Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Class
389,4,0,2,0,110,2,2.2,110,500,2,10,0.7,2,292,2,2,4,0,20,0,200,1621.4,4,5,3242.8,0
389,14,685,6,4110,3176,6,190.56,3861,500,2,10,146,2,0,2,2,4,0,20,0,360,24858,4,5,49716,1
389,14,0,2,0,103,2,2.06,103,500,2,10,0,2,2712,2,2,4,0,20,0,200,1606,4,5,3212,0
389,37,0,2,0,75,2,1.5,75,500,2,10,678,4,232,2,2,4,0,20,0,220,4262,4,5,8524,0
389,37,240,6,1440,1663,6,99.78,1903,500,2,10,116,2,91446,2,2,4,0,20,0,360,13050,4,5,26100,1
389,5,0,2,0,5,2,0.1,5,500,2,10,15241,6,216,2,2,4,0,20,0,240,92856,4,5,185712,1
389,5,0,2,0,176,2,3.52,176,500,2,10,108,2,568,2,2,4,0,20,0,200,1968,4,5,3936,0
389,5,0,2,0,297,2,5.94,297,500,2,10,284,2,0,2,2,4,0,20,0,200,2562,4,5,5124,0
389,5,0,2,0,43,2,0.86,43,500,2,10,0,2,180,2,2,4,0,20,0,200,1486,4,5,2972,0
389,5,0,2,0,94,2,1.88,94,500,2,10,90,2,3868,2,2,4,0,20,0,200,1768,4,5,3536,0
389,20,901,6,5406,1982,6,118.92,2883,500,2,10,967,4,0,2,2,4,0,20,0,380,22566,4,5,45132,1
389,19,0,2,0,5,2,0.1,5,500,2,10,0,2,19608,2,2,4,0,20,0,200,1410,4,5,2820,0
389,19,1195,6,7170,3090,6,185.4,4285,500,2,10,3268,6,561018,2,2,4,0,20,0,400,46718,4,5,93436,1
389,19,797,6,4782,1718,6,103.08,2515,500,2,10,93503,6,17778,2,2,4,0,20,0,400,577508,4,5,1155016,1
389,19,0,2,0,371,2,7.42,371,500,2,10,2963,6,22,2,2,4,0,20,0,240,19920,4,5,39840,1
389,19,62,2,124,202,2,4.04,264,500,2,10,11,2,524,2,2,4,0,20,0,200,1950,4,5,3900,0
389,19,0,2,0,227,2,4.54,227,500,2,10,262,2,0,2,2,4,0,20,0,200,2378,4,5,4756,0
389,19,0,2,0,0,2,0,0,500,2,10,0,2,12,2,2,4,0,20,0,200,1400,4,5,2800,0
389,19,132,4,528,0,2,0,132,500,2,10,6,2,486,2,2,4,0,20,0,220,1940,4,5,3880,0
389,19,0,2,0,103,2,2.06,103,500,2,10,243,2,75678,2,2,4,0,20,0,200,2092,4,5,4184,0
389,21,0,2,0,1538,6,92.28,1538,500,2,10,12613,6,0,2,2,4,0,20,0,360,86306,4,5,172612,1
389,21,0,2,0,102,2,2.04,102,500,2,10,0,2,12474,2,2,4,0,20,0,200,1604,4,5,3208,0
389,21,0,2,0,2071,6,124.26,2071,500,2,10,2079,6,94152,2,2,4,2,60,120,400,27500,16,5,220000,1
389,22,295,6,1770,656,4,26.24,951,500,2,10,15692,6,7374,2,2,4,0,20,0,340,99946,4,5,199892,1
389,22,197,4,788,210,2,4.2,407,500,2,10,1229,6,458,2,6,12,0,20,0,300,10782,12,5,64692,1
389,22,0,2,0,1805,6,108.3,1805,500,2,10,229,2,3112,2,2,4,0,20,0,320,12688,4,5,25376,1
389,22,0,2,0,93,2,1.86,93,500,2,10,778,4,502,2,2,4,0,20,0,220,4698,4,5,9396,0
389,9,0,2,0,161,2,3.22,161,500,2,10,251,2,3324,2,2,4,0,20,0,200,2224,4,5,4448,0
389,9,632,6,3792,901,4,36.04,1533,500,2,10,831,4,32,2,2,4,0,20,0,320,12120,4,5,24240,1
389,9,0,2,0,105,2,2.1,105,500,2,10,16,2,28740,2,2,4,0,20,0,200,1642,4,5,3284,0
389,11,0,2,0,680,4,27.2,680,500,2,10,4790,6,3564,2,2,4,0,20,0,300,32860,4,5,65720,1
389,11,1404,6,8424,1083,6,64.98,2487,500,2,10,891,4,990,2,2,4,0,20,0,380,19886,4,5,39772,1
389,11,667,6,4002,1802,6,108.12,2469,550,4,22,495,2,350,2,2,4,2,60,120,440,19604,16,5,156832,1
389,11,0,2,0,0,2,0,0,500,2,10,175,2,136,2,2,4,0,20,0,200,1750,4,5,3500,0
389,11,0,2,0,8,2,0.16,8,500,2,10,68,2,0,2,2,4,0,20,0,200,1552,4,5,3104,0
389,11,126,4,504,5,2,0.1,131,500,2,10,0,2,12,2,2,4,0,20,0,220,1914,4,5,3828,0
389,12,0,2,0,3,2,0.06,3,500,2,10,6,2,9492,2,2,4,0,20,0,200,1418,4,5,2836,0
389,12,0,2,0,79,2,1.58,79,500,2,10,1582,6,116,2,2,4,0,20,0,240,11050,4,5,22100,1
389,12,476,6,2856,1303,6,78.18,1779,500,2,10,58,2,129186,2,2,4,1,40,40,380,12590,8,5,50360,1
389,12,881,6,5286,902,4,36.08,1783,500,2,10,21531,6,0,2,2,4,1,40,40,360,139880,8,5,559520,1
389,12,0,2,0,7,2,0.14,7,500,2,10,0,2,10,2,2,4,0,20,0,200,1414,4,5,2828,0
389,12,1392,6,8352,220,2,4.4,1612,500,2,10,5,2,0,2,2,4,0,20,0,240,10202,4,5,20404,1
389,12,107,4,428,0,2,0,107,500,2,10,0,2,0,2,2,4,0,20,0,220,1828,4,5,3656,0
389,12,0,2,0,89,2,1.78,89,500,2,10,0,2,32004,2,2,4,0,20,0,200,1578,4,5,3156,0
389,8,0,2,0,398,2,7.96,398,600,6,36,5334,6,6696,2,2,4,0,20,0,320,36800,4,5,73600,1
389,8,1000,6,6000,7426,6,445.56,8426,550,4,22,1116,6,6414,2,2,4,3,60,180,480,61652,22,5,678172,1
389,29,424,6,2544,806,4,32.24,1230,500,2,10,1069,6,2276,2,2,4,0,20,0,340,13582,4,5,27164,1
389,29,1227,6,7362,7246,6,434.76,8473,500,2,10,569,4,270,2,2,4,0,20,0,380,54514,4,5,109028,1
389,29,0,2,0,96,2,1.92,96,500,2,10,135,2,7014,2,2,4,0,20,0,200,1862,4,5,3724,0
389,30,1270,6,7620,128,2,2.56,1398,500,2,10,1169,6,8760,2,2,4,0,20,0,280,16290,4,5,32580,1
389,38,0,2,0,6313,6,378.78,6313,500,2,10,1460,6,12468,2,2,4,1,40,40,380,48438,8,5,193752,1
389,31,199,4,796,1024,6,61.44,1223,500,2,10,2078,6,61332,2,2,4,0,20,0,380,20808,4,5,41616,1
389,2,5,2,10,21,2,0.42,26,550,4,22,10222,6,148,2,2,4,0,20,0,280,63984,4,5,127968,1
389,2,0,2,0,737,4,29.48,737,500,2,10,74,2,0,2,2,4,0,20,0,260,4496,4,5,8992,0
389,2,0,2,0,372,2,7.44,372,500,2,10,0,2,524022,2,2,4,9,60,540,240,7544,58,5,218776,1
389,2,7148,6,42888,2563,6,153.78,9711,500,2,10,87337,6,0,2,2,4,0,20,0,400,583688,4,5,1167376,1
389,2,0,2,0,0,2,0,0,500,2,10,0,2,0,2,2,4,0,20,0,200,1400,4,5,2800,0
389,2,74,2,148,100,2,2,174,500,2,10,0,2,0,2,2,4,0,20,0,200,1748,4,5,3496,0
389,2,0,2,0,58,2,1.16,58,500,2,10,0,2,280,2,2,4,0,20,0,200,1516,4,5,3032,0
389,9,846,6,5076,7276,6,436.56,8122,500,2,10,140,2,84,2,4,8,2,60,120,420,52012,20,5,520120,1
389,9,42,2,84,7,2,0.14,49,500,2,10,42,2,21912,2,2,4,0,20,0,200,1582,4,5,3164,0
389,32,1,2,2,129,2,2.58,130,550,4,22,3652,6,2408,4,2,8,0,20,0,300,25172,8,5,100688,1
389,32,685,6,4110,6593,6,395.58,7278,550,4,22,602,4,10296,4,2,8,0,20,0,440,49076,8,5,196304,1
389,32,537,6,3222,862,4,34.48,1399,500,2,10,1716,6,7746,4,2,8,0,20,0,360,18766,8,5,75064,1
389,32,493,6,2958,654,4,26.16,1147,550,4,22,1291,6,0,4,2,8,0,20,0,400,16320,8,5,65280,1
389,32,122,4,488,6,2,0.12,128,500,2,10,0,2,0,4,2,8,0,20,0,240,2300,8,5,9200,0
389,32,0,2,0,85,2,1.7,85,500,2,10,0,2,6474,4,2,8,0,20,0,220,1970,8,5,7880,0
389,16,1572,6,9432,5794,6,347.64,7366,600,6,36,1079,6,692,6,2,12,0,20,0,520,55470,12,5,332820,1
389,16,495,6,2970,4261,6,255.66,4756,500,2,10,346,2,12,6,2,12,1,40,40,420,31828,16,5,254624,1
389,16,0,2,0,8,2,0.16,8,500,2,10,6,2,466,6,2,12,0,20,0,240,2228,12,5,13368,1
389,16,119,4,476,1288,6,77.28,1407,500,2,10,233,2,2232,6,2,12,0,20,0,380,10870,12,5,65220,1
389,16,0,2,0,272,2,5.44,272,500,2,10,558,4,152,6,2,12,0,20,0,260,4976,12,5,29856,1
389,16,0,2,0,166,2,3.32,166,500,2,10,76,2,15162,6,2,12,0,20,0,240,2684,12,5,16104,1
389,16,647,6,3882,1218,6,73.08,1865,500,2,10,2527,6,40,6,2,12,0,20,0,440,28552,12,5,171312,1
389,16,133,4,532,0,2,0,133,500,2,10,20,2,0,6,2,12,0,20,0,260,2772,12,5,16632,1
389,16,0,2,0,110,2,2.2,110,500,2,10,0,2,3024,6,2,12,0,20,0,240,2420,12,5,14520,1
389,33,257,6,1542,449,2,8.98,706,500,2,10,756,4,0,2,2,4,1,40,40,280,7264,8,5,29056,1
389,15,0,2,0,188,2,3.76,188,500,2,10,0,2,40218,2,2,4,0,20,0,200,1776,4,5,3552,0
389,15,77,2,154,1831,6,109.86,1908,500,2,10,6703,6,11640,2,2,4,0,20,0,360,52758,4,5,105516,1
389,15,523,6,3138,589,4,23.56,1112,500,2,10,1940,6,20898,2,2,4,0,20,0,340,18534,4,5,37068,1
389,15,659,6,3954,2366,6,141.96,3025,500,2,10,3483,6,59250,2,2,4,1,40,40,420,40848,8,5,163392,1
389,15,718,6,4308,1463,6,87.78,2181,500,2,10,9875,6,72,2,2,4,0,20,0,400,73736,4,5,147472,1
389,15,100,4,400,0,2,0,100,500,2,10,36,2,0,2,2,4,0,20,0,220,1872,4,5,3744,0
389,13,0,2,0,6,2,0.12,6,500,2,10,0,2,0,2,2,4,0,20,0,200,1412,4,5,2824,0
389,13,263,6,1578,255,2,5.1,518,500,2,10,0,2,0,2,2,4,0,20,0,240,3488,4,5,6976,0
389,13,0,2,0,87,2,1.74,87,500,2,10,0,2,21126,2,2,4,0,20,0,200,1574,4,5,3148,0
389,36,1096,6,6576,4147,6,248.82,5243,500,2,10,3521,6,0,2,2,4,1,40,40,420,54384,8,5,217536,1
389,6,0,2,0,23,2,0.46,23,500,2,10,0,2,3280,2,2,4,0,20,0,200,1446,4,5,2892,0
341,34,425,6,2550,4551,6,273.06,4976,550,4,22,820,4,12198,2,2,4,0,20,0,420,35736,4,5,71472,1
341,18,198,4,792,5142,6,308.52,5340,550,4,22,2033,6,21078,2,2,4,1,40,40,440,46842,8,5,187368,1
341,25,144,4,576,2925,6,175.5,3069,500,2,10,3513,6,38220,2,2,4,0,20,0,380,40604,4,5,81208,1
341,39,152,4,608,3733,6,223.98,3885,550,4,22,6370,6,56,2,2,4,0,20,0,420,63826,4,5,127652,1
341,39,363,6,2178,1085,4,43.4,1448,500,2,10,28,2,16278,2,2,4,0,20,0,300,7974,4,5,15948,1
341,2,135,4,540,6635,6,398.1,6770,550,4,22,2713,6,6162,2,2,4,3,60,180,460,61028,22,5,671308,1
341,39,997,6,5982,8873,6,532.38,9870,500,2,10,1027,6,7830,2,2,4,0,20,0,400,66782,4,5,133564,1
341,27,141,4,564,3616,6,216.96,3757,500,2,10,1305,6,11274,2,6,12,0,20,0,420,32290,12,5,193740,1
341,8,198,4,792,6791,6,407.46,6989,550,4,22,1879,6,10092,2,2,4,1,40,40,440,55812,8,5,223248,1
341,11,1008,6,6048,2231,6,133.86,3239,550,4,22,1682,6,6018,2,2,4,0,20,0,440,32126,4,5,64252,1
341,11,144,4,576,965,4,38.6,1109,650,6,39,1003,6,7602,2,2,4,0,20,0,400,14754,4,5,29508,1
341,12,2540,6,15240,5174,6,310.44,7714,500,2,10,1267,6,8274,6,2,12,2,60,120,480,57286,24,5,687432,1
341,12,321,6,1926,7207,6,432.42,7528,500,2,10,1379,6,6096,6,2,12,1,40,40,460,56042,16,5,448336,1
341,9,1228,6,7368,2062,6,123.72,3290,500,2,10,1016,6,3892,2,2,4,1,40,40,420,27636,8,5,110544,1
341,9,693,6,4158,7026,6,421.56,7719,500,2,10,973,4,16170,2,2,4,0,20,0,380,51606,4,5,103212,1
341,16,334,6,2004,3759,6,225.54,4093,500,2,10,2695,6,17442,2,2,4,0,20,0,400,42128,4,5,84256,1
341,13,1566,6,9396,7453,6,447.18,9019,500,2,10,2907,6,3904,2,2,4,0,20,0,400,72956,4,5,145912,1
341,13,292,6,1752,524,4,20.96,816,500,2,10,976,4,7986,2,2,4,0,20,0,320,9152,4,5,18304,1
341,37,83,2,166,2806,6,168.36,2889,500,2,10,1331,6,136,2,2,4,0,20,0,360,26388,4,5,52776,1
341,13,197,4,788,3025,6,181.5,3222,500,2,10,68,2,3080,2,2,4,0,20,0,340,20474,4,5,40948,1
341,5,1000,6,6000,4790,6,287.4,5790,500,2,10,770,4,6240,2,2,4,0,20,0,380,39220,4,5,78440,1
341,35,1306,6,7836,4542,6,272.52,5848,500,2,10,1040,6,12372,2,2,4,0,20,0,400,42728,4,5,85456,1
341,38,135,4,540,3325,6,199.5,3460,550,4,22,2062,6,26412,2,2,4,0,20,0,420,35462,4,5,70924,1
341,4,413,6,2478,1674,6,100.44,2087,500,2,10,4402,6,26118,2,2,4,0,20,0,400,40334,4,5,80668,1
341,31,1262,6,7572,8006,6,480.36,9268,550,4,22,4353,6,7218,4,2,8,0,20,0,460,84726,8,5,338904,1
341,31,1636,6,9816,4110,6,246.6,5746,500,2,10,1203,6,7128,4,2,8,0,20,0,420,43494,8,5,173976,1
341,16,1268,6,7608,4100,6,246,5368,550,4,22,1188,6,2784,2,2,4,0,20,0,440,41936,4,5,83872,1
341,16,1173,6,7038,8587,6,515.22,9760,500,2,10,696,4,12642,2,2,4,1,40,40,400,63144,8,5,252576,1
341,22,515,6,3090,4467,6,268.02,4982,550,4,22,2107,6,34296,2,2,4,0,20,0,440,45134,4,5,90268,1
341,7,661,6,3966,5562,6,333.72,6223,500,2,10,5716,6,6390,2,4,8,0,20,0,420,73434,8,5,293736,1
341,8,803,6,4818,9443,6,566.58,10246,550,4,22,1065,6,2144,2,2,4,2,60,120,480,71666,16,5,573328,1
341,8,121,4,484,3403,6,204.18,3524,500,2,10,536,4,490,2,2,4,0,20,0,360,24446,4,5,48892,1
341,19,164,4,656,4621,6,277.26,4785,500,2,10,245,2,18966,2,2,4,0,20,0,340,30272,4,5,60544,1
341,19,121,4,484,4384,6,263.04,4505,550,4,22,3161,6,20592,2,2,4,0,20,0,420,48354,4,5,96708,1
341,29,110,4,440,8771,6,526.26,8881,550,4,22,3432,6,848,2,2,4,0,20,0,420,76258,4,5,152516,1
341,29,417,6,2502,2437,6,146.22,2854,500,2,10,424,2,3352,2,2,4,0,20,0,360,19372,4,5,38744,1
341,20,108,4,432,3271,6,196.26,3379,500,2,10,838,4,13260,2,2,4,0,20,0,360,24810,4,5,49620,1
341,29,1229,6,7374,2574,6,154.44,3803,500,2,10,2210,6,32442,2,4,8,0,20,0,420,37878,8,5,151512,1
341,32,1254,6,7524,3162,6,189.72,4416,500,2,10,5407,6,16608,2,2,4,0,20,0,400,60338,4,5,120676,1
341,9,1726,6,10356,4422,6,265.32,6148,500,2,10,2768,6,12870,2,2,4,1,40,40,420,55296,8,5,221184,1
341,30,115,4,460,2010,6,120.6,2125,600,6,36,2145,6,6654,2,2,4,0,20,0,460,29390,4,5,58780,1
341,15,2004,6,12024,4890,6,293.4,6894,500,2,10,1109,6,6084,2,2,4,0,20,0,400,49418,4,5,98836,1
341,15,1217,6,7302,4700,6,282,5917,600,6,36,1014,6,31278,2,2,4,0,20,0,480,45586,4,5,91172,1
341,40,1037,6,6222,10556,6,633.36,11593,900,6,54,5213,6,10212,2,2,4,0,20,0,480,106636,4,5,213272,1
341,41,967,6,5802,6225,6,373.5,7192,550,4,22,1702,6,10800,2,2,4,0,20,0,440,55964,4,5,111928,1
341,42,377,6,2262,4086,6,245.16,4463,500,2,10,1800,6,41856,2,2,4,0,20,0,400,38978,4,5,77956,1
341,22,473,6,2838,6022,6,361.32,6495,500,2,10,6976,6,8328,2,2,4,0,20,0,400,82226,4,5,164452,1
341,11,631,6,3786,1942,6,116.52,2573,550,4,22,1388,6,806,2,2,4,0,20,0,440,26366,4,5,52732,1
341,13,561,6,3366,156,2,3.12,717,500,2,10,403,2,488,2,2,4,0,20,0,240,5884,4,5,11768,1
341,37,522,6,3132,2094,6,125.64,2616,500,2,10,244,2,47388,2,2,4,0,20,0,360,17584,4,5,35168,1
341,19,31,2,62,5812,6,348.72,5843,500,2,10,7898,6,2752,2,4,8,0,20,0,380,84122,8,5,336488,1
341,15,286,6,1716,1709,6,102.54,1995,550,4,22,688,4,2196,2,2,4,0,20,0,420,17322,4,5,34644,1
341,14,1653,6,9918,7299,6,437.94,8952,500,2,10,549,4,22674,2,2,4,1,40,40,400,57708,8,5,230832,1
341,22,270,6,1620,4516,6,270.96,4786,500,2,10,3779,6,72,2,2,4,0,20,0,400,52790,4,5,105580,1
341,8,308,6,1848,6078,6,364.68,6386,500,2,10,36,2,36528,2,2,4,0,20,0,360,39788,4,5,79576,1
341,32,200,6,1200,4919,6,295.14,5119,500,2,10,6088,6,109920,2,2,4,1,40,40,420,69042,8,5,276168,1
341,2,118,4,472,0,2,0,118,550,4,22,18320,6,6012,2,4,8,0,20,0,320,113392,8,5,453568,1
341,39,107,4,428,0,2,0,107,500,2,10,1002,6,0,2,2,4,0,20,0,260,7840,4,5,15680,1
341,12,107,4,428,0,2,0,107,500,2,10,0,2,0,6,2,12,0,20,0,260,2628,12,5,15768,1
341,13,101,4,404,0,2,0,101,500,2,10,0,2,0,2,2,4,0,20,0,220,1804,4,5,3608,0
341,5,93,2,186,0,2,0,93,500,2,10,0,2,0,2,2,4,0,20,0,200,1586,4,5,3172,0
341,4,401,6,2406,0,2,0,401,500,2,10,0,2,64,2,2,4,0,20,0,240,3806,4,5,7612,0
341,32,77,2,154,0,2,0,77,500,2,10,32,2,0,2,2,4,0,20,0,200,1618,4,5,3236,0
341,16,105,4,420,0,2,0,105,500,2,10,0,2,56,2,2,4,0,20,0,220,1820,4,5,3640,0
341,15,101,4,404,0,2,0,101,500,2,10,28,2,0,2,2,4,0,20,0,220,1860,4,5,3720,0
341,19,91,2,182,0,2,0,91,500,2,10,0,2,0,2,2,4,0,20,0,200,1582,4,5,3164,0
341,8,112,4,448,0,2,0,112,500,2,10,0,2,36,2,2,4,0,20,0,220,1848,4,5,3696,0
341,9,80,2,160,0,2,0,80,500,2,10,18,2,0,2,2,4,0,20,0,200,1596,4,5,3192,0
341,22,65,2,130,0,2,0,65,500,2,10,0,2,0,2,2,4,0,20,0,200,1530,4,5,3060,0
341,29,63,2,126,0,2,0,63,500,2,10,0,2,0,2,2,4,0,20,0,200,1526,4,5,3052,0
341,6,43,2,86,0,2,0,43,500,2,10,0,2,0,2,2,4,0,20,0,200,1486,4,5,2972,0
341,11,121,4,484,0,2,0,121,500,2,10,0,2,0,2,2,4,0,20,0,220,1884,4,5,3768,0
341,31,17,2,34,0,2,0,17,500,2,10,0,2,0,2,2,4,0,20,0,200,1434,4,5,2868,0
341,18,0,2,0,0,2,0,0,500,2,10,0,2,0,4,2,8,0,20,0,220,1800,8,5,7200,0
341,14,0,2,0,0,2,0,0,500,2,10,0,2,0,2,2,4,0,20,0,200,1400,4,5,2800,0
341,36,7,2,14,0,2,0,7,500,2,10,0,2,29136,2,2,4,0,20,0,200,1414,4,5,2828,0
272,18,511,6,3066,5376,6,322.56,5887,600,6,36,4856,6,0,2,2,4,2,60,120,520,69658,16,5,557264,1
272,39,246,6,1476,672,4,26.88,918,500,2,10,0,2,11070,2,2,4,0,20,0,300,5564,4,5,11128,1
272,39,405,6,2430,2166,6,129.96,2571,550,4,22,1845,6,3376,2,2,4,0,20,0,440,29096,4,5,58192,1
272,39,281,6,1686,460,2,9.2,741,500,2,10,844,4,23790,2,2,4,0,20,0,260,7382,4,5,14764,1
272,25,443,6,2658,6147,6,368.82,6590,550,4,22,3965,6,3812,2,2,4,0,20,0,440,65930,4,5,131860,1
272,39,348,6,2088,1785,6,107.1,2133,500,2,10,953,4,26802,2,2,4,0,20,0,380,18010,4,5,36020,1
272,8,362,6,2172,4428,6,265.68,4790,500,2,10,4467,6,684,2,2,4,0,20,0,400,56942,4,5,113884,1
272,8,434,6,2604,2413,6,144.78,2847,500,2,10,342,2,0,2,2,4,0,20,0,360,19166,4,5,38332,1
272,12,362,6,2172,837,4,33.48,1199,500,2,10,0,2,15984,2,2,4,0,20,0,300,6920,4,5,13840,1
272,11,311,6,1866,11397,6,683.82,11708,550,4,22,2664,6,10146,2,2,4,0,20,0,440,88832,4,5,177664,1
272,9,165,4,660,2086,6,125.16,2251,500,2,10,1691,6,0,2,2,4,0,20,0,380,24722,4,5,49444,1
272,12,343,6,2058,153,2,3.06,496,500,2,10,0,2,7740,2,2,4,0,20,0,240,3764,4,5,7528,0
272,9,384,6,2304,9867,6,592.02,10251,500,2,10,1290,6,2716,2,2,4,0,20,0,400,70646,4,5,141292,1
272,12,742,6,4452,11587,6,695.22,12329,600,6,36,679,4,3504,2,2,4,1,40,40,480,81090,8,5,324360,1
272,12,707,6,4242,3548,6,212.88,4255,500,2,10,876,4,42,2,2,4,0,20,0,380,30434,4,5,60868,1
272,2,326,6,1956,555,4,22.2,881,500,2,10,21,2,11808,6,2,12,0,20,0,340,6418,12,5,38508,1
272,13,384,6,2304,14439,6,866.34,14823,500,2,10,1968,6,8562,2,4,8,1,40,40,440,102946,12,5,617676,1
272,13,550,6,3300,9326,6,559.56,9876,500,2,10,1427,6,9714,2,2,4,0,20,0,400,69218,4,5,138436,1
272,5,190,4,760,3504,6,210.24,3694,650,6,39,1619,6,2012,2,2,4,0,20,0,460,35798,4,5,71596,1
272,5,350,6,2100,1609,6,96.54,1959,500,2,10,503,4,22,2,2,4,0,20,0,380,15166,4,5,30332,1
272,5,146,4,584,75,2,1.5,221,500,2,10,11,2,8460,2,2,4,0,20,0,220,2156,4,5,4312,0
272,38,460,6,2760,5499,6,329.94,5959,500,2,10,1410,6,61434,2,2,4,0,20,0,400,45614,4,5,91228,1
272,5,743,6,4458,7950,6,477,8693,500,2,10,10239,6,852,2,2,4,0,20,0,400,114992,4,5,229984,1
272,11,351,6,2106,5289,6,317.34,5640,500,2,10,426,2,16338,2,2,4,0,20,0,360,36092,4,5,72184,1
272,4,565,6,3390,6716,6,402.96,7281,600,6,36,2723,6,0,2,2,4,0,20,0,480,64024,4,5,128048,1
272,4,133,4,532,35,2,0.7,168,500,2,10,0,2,35508,2,2,4,0,20,0,220,2002,4,5,4004,0
272,31,545,6,3270,7109,6,426.54,7654,550,4,22,5918,6,8010,2,2,4,0,20,0,440,84032,4,5,168064,1
272,4,173,4,692,564,4,22.56,737,500,2,10,1335,6,53784,2,2,4,0,20,0,320,12358,4,5,24716,1
272,16,602,6,3612,13569,6,814.14,14171,600,6,36,8964,6,48480,4,2,8,0,20,0,500,143210,8,5,572840,1
272,22,322,6,1932,5564,6,333.84,5886,500,2,10,8080,6,3580,2,4,8,0,20,0,420,85596,8,5,342384,1
272,16,241,6,1446,528,4,21.12,769,500,2,10,895,4,74754,4,2,8,0,20,0,340,8938,8,5,35752,1
272,16,284,6,1704,6491,6,389.46,6775,550,4,22,12459,6,0,4,2,8,0,20,0,460,118404,8,5,473616,1
272,16,175,4,700,57,2,1.14,232,500,2,10,0,2,2320,4,2,8,0,20,0,240,2614,8,5,10456,1
272,16,218,6,1308,3081,6,184.86,3299,500,2,10,580,4,12960,4,2,8,0,20,0,400,23914,8,5,95656,1
272,16,326,6,1956,281,2,5.62,607,600,6,36,2160,6,87582,4,2,8,0,20,0,380,19878,8,5,79512,1
272,40,443,6,2658,5132,6,307.92,5575,550,4,22,14597,6,45882,2,2,4,0,20,0,440,123632,4,5,247264,1
